Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0073/2009,"Sann Shwe Pyi Gold & 
Mining Co., Ltd","Sann Shwe Pyi Gold & Mining Co., Ltd",Small scale,Small,2009-05-27T00:00:00Z,2009-05-27,2015-05-26T00:00:00Z,2015-05-26,Gold,Gold,20.0,20.0,Sinn Twin Kyaung Gone,Sinn Twin Kyaung Gone,YMT-203
0074/2009,"Sann Shwe Pyi Gold & 
Mining Co., Ltd","Sann Shwe Pyi Gold & Mining Co., Ltd",Small scale,Small,2009-05-27T00:00:00Z,2009-05-27,2015-05-26T00:00:00Z,2015-05-26,Gold,Gold,20.0,20.0,Sinn Twin Kyaung Gone,Sinn Twin Kyaung Gone,YMT-204
0087/2009,"Sann Shwe Pyi Gold & 
Mining Co., Ltd","Sann Shwe Pyi Gold & Mining Co., Ltd",Small scale,Small,2009-05-27T00:00:00Z,2009-05-27,2015-05-26T00:00:00Z,2015-05-26,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-201
0037/2011,"Yadanar Kadae Thaik 
Co., Ltd","Yadanar Kadae Thaik Co., Ltd",Small scale,Small,2011-01-18T00:00:00Z,2011-01-18,2016-01-17T00:00:00Z,2016-01-17,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,ST-2
0154/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-242A
0155/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-242B
0156/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-243A
0157/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-243B
0151/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-240B
0152/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-241A
0153/2012,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2012-09-05T00:00:00Z,2012-09-05,2015-09-04T00:00:00Z,2015-09-04,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-241B
0266/2014,"Shwe Shwe Lee 
Mining Co.,Ltd","Shwe Shwe Lee Mining Co.,Ltd",Small scale,Small,2014-10-15T00:00:00Z,2014-10-15,2015-10-14T00:00:00Z,2015-10-14,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-273
0087/2014,"Pyi Htaung Su Thar 
Co., Ltd","Pyi Htaung Su Thar Co., Ltd",Small scale,Small,2014-03-04T00:00:00Z,2014-03-04,2016-03-03T00:00:00Z,2016-03-03,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-255
0088/2014,"Pyi Htaung Su Thar 
Co., Ltd","Pyi Htaung Su Thar Co., Ltd",Small scale,Small,2014-03-04T00:00:00Z,2014-03-04,2016-03-03T00:00:00Z,2016-03-03,Gold,Gold,20.0,20.0,War Phu Taung,War Phu Taung,YMT-256
