Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Coordinates of the license area
0206/2013,,Htay FamilyGeneral Manufacturing Co; Ltd.,,Production Sharing (Small Scale),2013-11-04T00:00:00Z,2013-11-04,2016-11-03T00:00:00Z,2016-11-03,,Antimony,49.5,49.5,,95-I/7
0017/2014,,Htay FamilyGeneral Manufacturing Co; Ltd.,,Production Sharing (Small Scale),,,,,,Antimony,49.5,49.5,,95-I/7
0018/2014,,Htay FamilyGeneral Manufacturing Co; Ltd.,,Production Sharing (Small Scale),,,,,,Antimony,49.5,49.5,,95-I/7
0207/2013,,Htay FamilyGeneral Manufacturing Co; Ltd.,,Production Sharing (Small Scale),,,,,,Antimony,49.5,49.5,,95-I/7
0001/2013,Loi Khone Gold and Mining Marketing Co; Ltd.,Loi Khone Gold and Mining Marketing Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2012-12-20T00:00:00Z,2012-12-20,2015-12-19T00:00:00Z,2015-12-19,Antimony Mineral,Antimony,49.5,49.5,"No. 49, Myaynikhone Say Street, 2nd Floor, 3-B, Myaynikhone North Block,San Chaung Township",93-K/6G
0146/2012,"San Shay Co.,ltd","San Shay Co.,ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2012-08-20T00:00:00Z,2012-08-20,2015-08-19T00:00:00Z,2015-08-19,Antimony Mineral,Antimony,49.5,49.5,"No.3/147, Hnisi Street, Word(3), Phayar Thone Su",95I/6
0178/2011,Htein Eye Mining Co; Ltd.,Htein Eye Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-02-14T00:00:00Z,2014-02-14,2015-02-15T00:00:00Z,2015-02-15,,Antimony,48.0,48.0,"Lawpita Road, Mya kalatzayti Road, nantbawwan, Loikaw Township, Kayar State",94 A/15 & E/3
0245/2011,Certain Mineral  ExplorationMining Co; Ltd.,Certain Mineral ExplorationMining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-16T00:00:00Z,2014-03-16,2015-03-15T00:00:00Z,2015-03-15,Antimony Mineral,Antimony,49.5,49.5,"No. (12/2),Aunfpan- Pintaya Street, Aryae Block, Pintaya Township Shan State",95 D/9
0159/2014,Kayan Mining Co; Ltd.,Kayan Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-05-28T00:00:00Z,2014-05-28,2017-05-27T00:00:00Z,2017-05-27,Antimony Mineral,Antimony,32.0,32.0,"N. (183), Khattar Street,Mingalar Block, Loikaw Township Kayar State",94 E/1 
0191/2008,Zenith Mining Co; Ltd.,Zenith Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Antimony Mineral,Antimony,49.5,49.5,"No. 48, Thamainbayan Street,Tarmawe Townshipm Yangon",94 G/11
0325/2011,"San Linn International Export and Import Co.,Ltd.","San Linn International Export and Import Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-25T00:00:00Z,2014-03-25,2015-03-24T00:00:00Z,2015-03-24,Iron Ore,Iron Ore,49.5,49.5,"H-20/23, 66 Pathout War Street, Myothit,  Chanmyatharsi Township, Mandalay",92 K/5 NZ
0139/2014,San Na Di Co. Ltd.,San Na Di Co. Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-05-16T00:00:00Z,2014-05-16,2017-05-15T00:00:00Z,2017-05-15,,Iron Ore,49.5,49.5,"No, (185), 12 Block, Lashio Township, Shan State",93 E /8& E/7
0140/2014,,San Na Di Co. Ltd.,,Production Sharing (Small Scale),,,,,,Iron Ore,49.5,49.5,,93 E /8& E/7
0246/2010,"Sai Kan Naw Mininfg Co., Ltd.","Sai Kan Naw Mininfg Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Lead Ore,Lead Ore,25.0,25.0,"No.(213),Universal Road,(2) Quarter, Nansan  Myo, Shan State",93 H/9N
0366/2010,"Yandanar Gabar Mining Co., Ltd.","Yandanar Gabar Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,,Lead Ore,49.5,49.5,"Build. No.(107), Kamarkyi Roard, Hinnsini Street, 30 Quarter, Thuwunna Thingangyun Township Yangon Division",93 H/9
0768/2010,,"Yandanar Gabar Mining Co., Ltd.",,Production Sharing (Small Scale),,,,,,Lead Ore,,,,93 H/9
0117/2011,"Jade King Mining Co., Ltd.","Jade King Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-02-04T00:00:00Z,2014-02-04,2015-02-03T00:00:00Z,2015-02-03,Iron Ore,Iron Ore,49.5,49.5,"No. 53/55, Aye Yeik Tha Lane(1), New University Avenue Street, Sayarsan  Ward Bahan Township, Yangon Division",92 J/8
0118/2011,,"Jade King Mining Co., Ltd.",,Production Sharing (Small Scale),2014-02-04T00:00:00Z,2014-02-04,2015-02-03T00:00:00Z,2015-02-03,,Iron Ore,,,,92 J/8
0119/2011,,"Jade King Mining Co., Ltd.",,Production Sharing (Small Scale),2014-02-04T00:00:00Z,2014-02-04,2015-02-03T00:00:00Z,2015-02-03,,Iron Ore,,,,92 J/8
0013/2014,"Shwe Kayin Payerme Mining Co., Ltd.","Shwe Kayin Payerme Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-22T00:00:00Z,2014-01-22,2017-01-21T00:00:00Z,2017-01-21,Antimony Mineral,Antimony,49.5,49.5,,94 L/6
0014/2014,,"Shwe Kayin Payerme Mining Co., Ltd.",,Production Sharing (Small Scale),,,,,,Antimony,,,,94 L/6
0178/2014,"Golden Silver Land Group Co., Ltd.","Golden Silver Land Group Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-04-09T00:00:00Z,2014-04-09,2017-04-08T00:00:00Z,2017-04-08,Chromium,Chromium,49.5,49.5,"No. (2) Zawana Lane Yarthit Quarter,Yarthit (17)Streetm Magwe",84 L/8T
0179/2014,,"Golden Silver Land Group Co., Ltd.",,Production Sharing (Small Scale),,,,,,Chromium,,,,84 L/8T
0122/2014,"Shwe Li Mahar Mining Co., Ltd.","Shwe Li Mahar Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-04-09T00:00:00Z,2014-04-09,2017-04-08T00:00:00Z,2017-04-08,Antimony Mineral,Antimony,49.5,49.5,"No.(99), Thitsar Street (10) Block,Larlio Township, ShanState",93 C/12
0211/2012,"Shin Nat Taung Mining Co,. Ltd.","Shin Nat Taung Mining Co,. Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2012-11-23T00:00:00Z,2012-11-23,2015-11-22T00:00:00Z,2015-11-22,Antimony Mineral,Antimony,49.5,49.5,"161/A,Kyansittar Lane(1), Theehlaingshin Housing, Hlaingtharyar Township, Yangon Division",94 A/14 W
0206/2009,"PanThut Aung Co.,Ltd.","PanThut Aung Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Antimony Mineral,Antimony,49.5,49.5,,93 D/9
0002/2009,Phyo LinCo. Ltd.,Phyo LinCo. Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Lead Ore,Lead Ore,49.5,49.5,,
0003/2009,,Phyo LinCo. Ltd.,,Production Sharing (Small Scale),,,,,,Lead Ore,,,,
0609/2010,"Zinc & Chemical `Co., Ltd.","Zinc & Chemical `Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Antimony Mineral,Antimony,49.5,49.5,,
0261/2014,"Shwe Lar Hu Co., Ltdl","Shwe Lar Hu Co., Ltdl",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-10-09T00:00:00Z,2014-10-09,2019-10-08T00:00:00Z,2019-10-08,Antimony Mineral,Antimony,49.5,49.5,"2/15, Damayadanar Yaeayekwin  Block, Taung gyi Township, Yangon",93 L/15
0262/2014,,"Shwe Lar Hu Co., Ltdl",,Production Sharing (Small Scale),,,,,,Antimony,,,,93 L/15
