,Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl,License_type_cl,Location (Region),Location_state_cl,Year
80,,5247.66,,2011-01-21,0008/2011,Coal,"Max Myanmar Co.,Ltd",DOM,2021-01-20,Kalawa ,Plauzawa,,Large,,Sagaing,2014-15
81,,5600.0,,2011-02-04,0011/2011,Coal,Young Investment Group CoLtd,DOM,2021-02-03,Mawleik,DarThweKyouk,,Large,,Sagaing,2014-15
82,,940.0,,2011-02-17,0022/2011,Coal,"GeoAsia Industries Co,Ltd",DOM,2021-02-16,Mawleik,mawkuu,,Large,,Sagaing,2014-15
83,,3130.15,,2011-03-08,0031/2011,Coal,"Madalay Distribution and Mining Co.,Ltd",DOM,2021-03-07,Mawleik,Namponmun Chaung,,Large,,Sagaing,2014-15
84,,600.0,,2011-03-30,0042/2011,Limestone,"Asia Phyo Mining Co.,Ltd",DOM,2021-03-29,Kanbolu,Zin Taing,,Large,,Sagaing,2014-15
85,,1492.39,,2007-08-01, 0086/2007,Gold,"Eternal Mining Co.,Ltd",DOM,2017-07-31,Kawlin,Kyaukpahtoe,,Large,,Sagaing,2014-15
86,,145.99,,2014-11-26,0009/2014,Coal,"Hyun Tauk Sa Industrial Co.,Ltd",DOM,2015-11-25,tamu,KyaukPyin Chaung,,Large,,Sagaing,2014-15
87,,192.0,,2014-12-17, 0012/2014,Coal,"Mandalay Golden Friend Co.,Ltd",DOM,2024-12-16,Kalaywa,PaluZawa,,Large,,Sagaing,2014-15
88,,414.28,,2014-12-17,0010/2014,Coal,"Kan Pwin Oo Mining Co.,Ltd",DOM,2024-12-16,Kalaywa,PaluZawa,,Large,,Sagaing,2014-15
89,,998.77,,2014-12-17,0011/2014,Coal,"Htut Khaung Kyaw Mining Co.,ltd",DOM,2024-12-16,Mawleik,Kawe Pyin,,Large,,Sagaing,2014-15
90,,95.5,,2014-12-24,0013/2014,Coal,"Htoo Han Thit Co.,Ltd",DOM,2024-12-23,Kalay,Kyatfanat Chaung,,Large,,Sagaing,2014-15
