Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0198/2013,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2013-11-21,2013-11-21,2016-11-20,2016-11-20,Gold,Gold,20,20,Wat Thay,Wat Thay,TWT-A
0199/2013,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2013-11-21,2013-11-21,2016-11-20,2016-11-20,Gold,Gold,20,20,Wat Thay,Wat Thay,TWT-B
0200/2013,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2013-11-21,2013-11-21,2016-11-20,2016-11-20,Gold,Gold,20,20,Wat Thay,Wat Thay,TWT-C
0201/2013,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2013-11-21,2013-11-21,2016-11-20,2016-11-20,Gold,Gold,20,20,Wat Thay,Wat Thay,TWT-D
0221/2011,"Eternal Mining Co.,Ltd","Eternal Mining Co.,Ltd",Small scale,Small,2011-02-25,2011-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,TPK-115
0223/2011,"Eternal Mining Co.,Ltd","Eternal Mining Co.,Ltd",Small scale,Small,2011-02-25,2011-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,TPK-117
0224/2011,"Eternal Mining Co.,Ltd","Eternal Mining Co.,Ltd",Small scale,Small,2011-02-25,2011-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,TPK-118
0228/2011,"Eternal Mining Co.,Ltd","Eternal Mining Co.,Ltd",Small scale,Small,2011-02-25,2011-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,TPK-122
0229/2011,"Eternal Mining Co.,Ltd","Eternal Mining Co.,Ltd",Small scale,Small,2011-02-25,2011-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,TPK-123
0124/2012,"Shwe Su Su Than 
Mining Co., Ltd.","Shwe Su Su Than Mining Co., Ltd.",Small scale,Small,2012-08-08,2012-08-08,2016-08-07,2016-08-07,Gold,Gold,20,20,Chaung Gyi,Chaung Gyi,TPK-141
0034/2012,"Shwe Thein Than Kabar 
Mineral Manufacturing 
Co., Ltd.","Shwe Thein Than Kabar Mineral Manufacturing Co., Ltd.",Small scale,Small,2012-01-11,2012-01-11,2017-01-10,2017-01-10,Gold,Gold,20,20,(7)mile,(7)mile,TPK-139
0035/2012,"Shwe Thein Than Kabar 
Mineral Manufacturing 
Co., Ltd.","Shwe Thein Than Kabar Mineral Manufacturing Co., Ltd.",Small scale,Small,2012-01-11,2012-01-11,2017-01-10,2017-01-10,Gold,Gold,20,20,(7)mile,(7)mile,TPK-140
0163/2012,"Shwe Thein Than Kabar 
Mineral Manufacturing 
Co., Ltd.","Shwe Thein Than Kabar Mineral Manufacturing Co., Ltd.",Small scale,Small,2012-08-30,2012-08-30,2016-08-29,2016-08-29,Gold,Gold,20,20,Chaung Gyi,Chaung Gyi,TPK-149
0033/2012,"Kyaw Soe Ya Mining & Production Co., Ltd.","Kyaw Soe Ya Mining & Production Co., Ltd.",Small scale,Small,2012-01-10,2012-01-10,2017-01-09,2017-01-09,Gold,Gold,20,20,Chaung Gyi,Chaung Gyi,TPK-138
0127/2012,"Shwe Than Danan 
Co.,Ltd","Shwe Than Danan Co.,Ltd",Small scale,Small,2012-08-08,2012-08-08,2016-08-07,2016-08-07,Gold,Gold,20,20,Chaung Gyi,Chaung Gyi,TPK-142
0143/2012,"Shwe Chaung Gyi 
Mining Co.,Ltd","Shwe Chaung Gyi Mining Co.,Ltd",Small scale,Small,2012-08-20,2012-08-20,2016-08-19,2016-08-19,Gold,Gold,9.38,9.38,Chaung Gyi,Chaung Gyi,TPK-143
0122/2012,"G.D.Roc Co., Ltd.","G.D.Roc Co., Ltd.",Small scale,Small,2012-08-08,2012-08-08,2016-08-07,2016-08-07,Gold,Gold,20,20,(7)mile,(7)mile,TPK-146
0123/2012,"G.D.Roc Co., Ltd.","G.D.Roc Co., Ltd.",Small scale,Small,2012-08-08,2012-08-08,2016-08-07,2016-08-07,Gold,Gold,20,20,(7)mile,(7)mile,TPK-147
0222/2012,"Sixteen Star Co.,Ltd","Sixteen Star Co.,Ltd",Small scale,Small,2012-11-08,2012-11-08,2016-11-07,2016-11-07,Gold,Gold,20,20,Chaung Gyi,Chaung Gyi,TPK-152
0010/2013,"Aung Myittar Shin 
Mining Co.,Ltd","Aung Myittar Shin Mining Co.,Ltd",Small scale,Small,2013-01-02,2013-01-02,2017-01-01,2017-01-01,Gold,Gold,14.31,14.31,Nga Tant Eie,Nga Tant Eie,TPK-156
0003/2013,"Southern Value 
Mining Co.,Ltd","Southern Value Mining Co.,Ltd",Small scale,Small,2013-12-12,2013-12-12,2016-12-11,2016-12-11,Gold,Gold,20,20,(7)mile,(7)mile,TPK-157
0029/2013,"Myanmar Kyin Sein 
Co.,Ltd","Myanmar Kyin Sein Co.,Ltd",Small scale,Small,2013-01-30,2013-01-30,2017-01-29,2017-01-29,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-160
0030/2013,"Myanmar Kyin Sein 
Co.,Ltd","Myanmar Kyin Sein Co.,Ltd",Small scale,Small,2013-01-30,2013-01-30,2017-01-29,2017-01-29,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-161
0031/2013,"Myanmar Kyin Sein 
Co.,Ltd","Myanmar Kyin Sein Co.,Ltd",Small scale,Small,2013-01-30,2013-01-30,2017-01-29,2017-01-29,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-162
0032/2013,"Myanmar Kyin Sein 
Co.,Ltd","Myanmar Kyin Sein Co.,Ltd",Small scale,Small,2013-01-30,2013-01-30,2017-01-29,2017-01-29,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-163
0033/2013,"Myanmar Kyin Sein 
Co.,Ltd","Myanmar Kyin Sein Co.,Ltd",Small scale,Small,2013-01-30,2013-01-30,2017-01-29,2017-01-29,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-164
0034/2013,"Phwint Phyo Thit Co.,Ltd","Phwint Phyo Thit Co.,Ltd",Small scale,Small,2013-02-06,2013-02-06,2017-02-05,2017-02-05,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-165
0035/2013,"Phwint Phyo Thit Co.,Ltd","Phwint Phyo Thit Co.,Ltd",Small scale,Small,2013-02-06,2013-02-06,2017-02-05,2017-02-05,Gold,Gold,20,20,Wa phu taung,Wa phu taung,TPK-166
0072/2013,"Myanmar Shwe ToePwar Mann Mining Co.,Ltd","Myanmar Shwe ToePwar Mann Mining Co.,Ltd",Small scale,Small,2013-04-03,2013-04-03,2017-04-02,2017-04-02,Gold,Gold,20,20,Own Zone,Own Zone,TPK-168
0093/2013,"Shwe Mi Khin Taung 
Mining Co.,Ltd","Shwe Mi Khin Taung Mining Co.,Ltd",Small scale,Small,2013-04-03,2013-04-03,2017-04-02,2017-04-02,Gold,Gold,16,16,Chaung Gyi,Chaung Gyi,TPK-171
0074/2014,"Yadanar Tha Khin 
Mining Co.,Ltd","Yadanar Tha Khin Mining Co.,Ltd",Small scale,Small,2014-02-28,2014-02-28,2017-02-27,2017-02-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-181
0171/2014,"Yadanar Aung Taw Mu 
Mining Co., Ltd.","Yadanar Aung Taw Mu Mining Co., Ltd.",Small scale,Small,2014-03-20,2014-03-20,2017-03-19,2017-03-19,Gold,Gold,20,20,Own Zone,Own Zone,TPK-177
0172/2014,"Yadanar Aung Taw Mu 
Mining Co., Ltd.","Yadanar Aung Taw Mu Mining Co., Ltd.",Small scale,Small,2014-03-20,2014-03-20,2017-03-19,2017-03-19,Gold,Gold,20,20,Own Zone,Own Zone,TPK-178
0173/2014,"Yadanar Aung Taw Mu 
Mining Co., Ltd.","Yadanar Aung Taw Mu Mining Co., Ltd.",Small scale,Small,2014-03-20,2014-03-20,2017-03-19,2017-03-19,Gold,Gold,20,20,Own Zone,Own Zone,TPK-179
0174/2014,"Yadanar Aung Taw Mu 
Mining Co., Ltd.","Yadanar Aung Taw Mu Mining Co., Ltd.",Small scale,Small,2014-03-20,2014-03-20,2017-03-19,2017-03-19,Gold,Gold,20,20,Own Zone,Own Zone,TPK-180
0028/2015,"Myanmar Economic 
Holding Ltd.",Myanmar Economic Holding Ltd.,Small scale,Small,2015-01-28,2015-01-28,2017-01-27,2017-01-27,Gold,Gold,20,20,Own Zone,Own Zone,TPK-193
