Code/Ref,License holder,Type of License,Date of application,PSC ratio,Date of award,Expiry date,Commodity ,Area (Km2),Location (Region),Coordinates of the license area
0173/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.",production,,50:50,2.10.2013,1.10.2015,Gold,0.0809,Kachin,
0174/2013,"Sea Sun Star Mining Production & Marketing Co., Ltd.",production,,50:50,2.10.2013,1.10.2015,Gold,0.0809,Kachin,
0112/2009,"Shwe Pyae Phyo Gold & Mining Co., Ltd",production,,50:50,17.8.2009,16.8.2015,Gold,0.0809,Kachin,
0117/2014,"Thiri Phyo Wai Co., Ltd",production,,50:50,26.3.2014,25.3.2016,Gold,0.0809,Kachin,
0208/2014,"Thiri Phyo Wai Co., Ltd",production,,50:50,17.7.2014,16.7.2015,Gold,0.0809,Kachin,
0192/2011,"San Lin International Export and Import Co.,Ltd",production,,50:50,25.2.2011,24.2.2016,Gold,0.0809,Kachin,
0050/2015,"San Lin International Export and Import Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Kachin,
0051/2015,"San Lin International Export and Import Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Kachin,
0274/2014,"Bu Yaung Family Co., Ltd",production,,50:50,12.11.2014,11.11.2015,Gold,0.0809,Kachin,
0285/2014,"Myanmar Academy International Co., Ltd",production,,50:50,3.12.2014,2.12.2015,Gold,0.0809,Kachin,
0056/2015,"Shwe Sune Thaike Co., Ltd",production,,50:50,11.2.2015,10.2.2016,Gold,0.0809,Kachin,
0379/2011,"Shwe Moe Thoon Aung Mining Co., Ltd",production,,50:50,25.11.2011,24.11.2015,Gold,0.0809,Kachin,
0240/2014,"Kan Linn Thu Mining Co., Ltd ",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Kachin,
0130/2012,"Lone Sein Mining Co., Ltd",production,,50:50,20.8.2012,19.8.2015,Gold,0.0809,Kachin,
0168/2012,Gold Season Private Limited,production,,50:50,5.9.2012,4.9.2015,Gold,0.0809,Kachin,
0022/2015,"Maha Shwe Zabuu Co., Ltd",production,,50:50,21.1.2015,20.1.2016,Gold,0.0809,Kachin,
0020/2015,"Maha Shwe Zabuu Co., Ltd",production,,50:50,21.1.2015,20.1.2016,Gold,0.0809,Kachin,
0021/2015,"Maha Shwe Zabuu Co., Ltd",production,,50:50,21.1.2015,20.1.2016,Gold,0.0809,Kachin,
0037/2013,"Shwe Phyoe Kywe Mining Co., Ltd",production,,50:50,6.2.2013,5.2.2016,Gold,0.0809,Kachin,
0548/2010,"Htoo Ko Ko Co.,Ltd",production,,50:50,27.8.2010,26.8.2015,Gold,0.0809,Kachin,
0233/2014,"Mega Jade Star Mining Co.,Ltd",production,,50:50,13.8.2014,12.8.2015,Gold,0.0809,Kachin,
0234/2014,"Mega Jade Star Mining Co.,Ltd",production,,50:50,13.8.2014,12.8.2015,Gold,0.0809,Kachin,
0301/2014,National Prosperity Gold Production Group Limited,production,,50:50,24.12.2014,23.12.2015,Gold,0.0809,Kachin,
0265/2014,"Hlaing Aung Pwar Co.,Ltd",production,,50:50,15.10..2014,14.10.2015,Gold,0.0809,Kachin,
0058/2015,"La Pyi Wun Gold Mining Co.,Ltd",production,,50:50,18.2.2015,18.2.2016,Gold,0.0809,Kachin,
0163/2008,"Ruby Dragon Mining Co., Ltd",production,,50:50,3.7.2008,2.7.2015,Gold,0.0809,Sagaing,
0164/2008,"Ruby Dragon Mining Co., Ltd",production,,50:50,3.7.2014,2.7.2015,Gold,0.0809,Sagaing,
0165/2008,"Ruby Dragon Mining Co., Ltd",production,,50:50,3.7.2008,2.7.2015,Gold,0.0809,Sagaing,
0166/2008,"Ruby Dragon Mining Co., Ltd",production,,50:50,3.7.2008,2.7.2015,Gold,0.0809,Sagaing,
0167/2008,"Ruby Dragon Mining Co., Ltd",production,,50:50,3.7.2008,2.7.2015,Gold,0.0809,Sagaing,
0168/2008,"Ruby Dragon Mining Co., Ltd",production,,50:50,3.7.2008,2.7.2015,Gold,0.0809,Sagaing,
0178/2009,"Ruby Dragon Mining Co., Ltd",production,,50:50,9.10.2009,8.10.2015,Gold,0.0809,Sagaing,
0038/2010,"Ruby Dragon Mining Co., Ltd",production,,50:50,4.2.2010,3.2.2016,Gold,0.0809,Sagaing,
0674/2010,"Ruby Dragon Mining Co., Ltd",production,,50:50,20.10.2010,19.10.2015,Gold,0.0809,Sagaing,
0675/2010,"Ruby Dragon Mining Co., Ltd",production,,50:50,20.10.2010,19.10.2015,Gold,0.0809,Sagaing,
0524/2010,"Red Mountain Production co., Ltd.",production,,50:50,10.8.2010,9.8.2015,Gold,0.0809,Sagaing,
0525/2010,"Red Mountain Production co., Ltd.",production,,50:50,10.8.2010,9.8.2015,Gold,0.0809,Sagaing,
0526/2010,"Red Mountain Production co., Ltd.",production,,50:50,10.8.2010,9.8.2015,Gold,0.0809,Sagaing,
0358/2010,"Red Mountain Production co., Ltd.",production,,50:50,14.5.2010,13.5.2015,Gold,0.0809,Sagaing,
0359/2010,"Red Mountain Production co., Ltd.",production,,50:50,14.5.2010,13.5.2015,Gold,0.0809,Sagaing,
0224/2009,"Etarnal Mining Co., Ltd",production,,50:50,13.11.2009,12.11.2015,Gold,0.0809,Sagaing,
0225/2009,"Etarnal Mining Co., Ltd",production,,50:50,13.11.2009,12.11.2015,Gold,0.0809,Sagaing,
0226/2009,"Etarnal Mining Co., Ltd",production,,50:50,13.11.2009,12.11.2015,Gold,0.0809,Sagaing,
0227/2009,"Etarnal Mining Co., Ltd",production,,50:50,13.11.2009,12.11.2015,Gold,0.0809,Sagaing,
0132/2012,"MCS Mining  Co., Ltd",production,,50:50,20.8.2012,19.8.2015,Gold,0.0809,Sagaing,
0172/2012,"Khaing Ngu War Shwe Co.,Ltd",production,,50:50,30.8.2012,29.8.2015,Gold,0.0809,Sagaing,
0079/2013,"ArKar Myint Manufacturing Co., Ltd",production,,50:50,10.4.2013,9.4.2015,Gold,0.0809,Sagaing,
0068/2014,"ArKar Myint Manufacturing Co., Ltd",production,,50:50,8.1.2014,7.1.2016,Gold,0.0809,Sagaing,
0102/2014,"Worm Pool Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Sagaing,
0175/2014,"Asia Golden Light Mining Co., Ltd",production,,50:50,14.5.2014,13.5.2015,Gold,0.0809,Sagaing,
0176/2014,"Asia Golden Light Mining Co., Ltd",production,,50:50,14.5.2014,13.5.2015,Gold,0.0809,Sagaing,
0255/2015,"Asia Golden Light Mining Co., Ltd",production,,50:50,1.10.2014,30.9.2015,Gold,0.0809,Sagaing,
0256/2015,"Asia Golden Light Mining Co., Ltd",production,,50:50,1.10.2014,30.9.2015,Gold,0.0809,Sagaing,
0248/2014,"Myanmar Golden High Land Mining Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0249/2014,"Myanmar Golden High Land Mining Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0013/2015,"Worm Pool Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0288/2009,"Aye Aye Khaing Mining Co., Ltd.",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Sagaing,
0289/2009,"Aye Aye Khaing Mining Co., Ltd.",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Sagaing,
0145/2010,"Pyi Kaung Kyaw Mining Co.,Ltd",production,,50:50,19.2.2010,18.2.2016,Gold,0.0809,Sagaing,
0146/2010,"Aung Hsu Myat Mining Co.,Ltd",production,,50:50,19.2.2010,18.2.2016,Gold,0.0809,Sagaing,
0147/2010,"Su Htu Pan mining Co.,Ltd",production,,50:50,19.2.2010,18.2.2016,Gold,0.0809,Sagaing,
0148/2010,"Kaung Mon Yadanar Mining co.,Ltd",production,,50:50,19.2.2010,18.2.2016,Gold,0.0809,Sagaing,
0149/2010,"Shwe Tong Tong Mining Co.,Ltd",production,,50:50,19.2.2010,18.2.2016,Gold,0.0809,Sagaing,
0178/2010,"Shwe Ngwe Moe Hlyan mining Co.,Ltd",production,,50:50,19.2.2010,18.2.2016,Gold,0.0809,Sagaing,
0217/2010,"Khaing Shwe Hlyan Mining Co.,Ltd",production,,50:50,9.4.2010,8.4.2015,Gold,0.0809,Sagaing,
0218/2010,"Khaing Shwe Hlyan Mining Co.,Ltd",production,,50:50,9.4.2010,8.4.2015,Gold,0.0809,Sagaing,
0219/2010,"Pyi Kyaw Aung Htay Mining Co.,Ltd",production,,50:50,9.4.2010,8.4.2015,Gold,0.0809,Sagaing,
0220/2010,"Pyi Kyaw Aung Htay Mining Co.,Ltd",production,,50:50,9.4.2010,8.4.2015,Gold,0.0809,Sagaing,
0459/2010,"Skyward Co., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0449/2010,"Swan Minn Htet Mining co., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0450/2010,"Swan Minn Htet Mining co., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0451/2010,"Swan Minn Htet Mining co., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0452/2010,"Swan Minn Htet Mining co., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0453/2010,"Swan Minn Htet Mining co., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0454/2010,"Swan Yadanar Htay Mining Co.,Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0455/2010,"Swan Yadanar Htay Mining Co.,Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0456/2010,"Swan Yadanar Htay Mining Co.,Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0457/2010,"Swan Yadanar Htay Mining Co.,Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0458/2010,"Swan Yadanar Htay Mining Co.,Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0027/2014,"Than Htite Shwe Sin Mining Co.,Ltd",production,,50:50,15.1.2014,14.1.2016,Gold,0.0809,Sagaing,
0023/2013,"Ngwe Yung Linn Mining Co., Ltd",production,,50:50,30.1.2013,29.1.2016,Gold,0.0809,Sagaing,
0136/2013,"Aye Nyein DaNa Co., Ltd",production,,50:50,12.7.2013,11.7.2015,Gold,0.0809,Sagaing,
0137/2013,"Aye Nyein DaNa Co., Ltd",production,,50:50,12.7.2013,11.7.2015,Gold,0.0809,Sagaing,
0106/2014,"Shwe Taing Htar Nay Co.,Ltd",production,,50:50,2.4.2014,1.4.2015,Gold,0.0809,Sagaing,
0189/2014,"Seven Two Seven Mining Co., Ltd",production,,50:50,11.6.2014,10.6.2015,Gold,0.0809,Sagaing,
0263/2014,"Seven Two Seven Mining Co., Ltd",production,,50:50,15.10.2014,14.10.2015,Gold,0.0809,Sagaing,
0264/2014,"Seven Two Seven Mining Co., Ltd",production,,50:50,15.10.2014,14.10.2015,Gold,0.0809,Sagaing,
0238/2014,"Shwe Linn Aung Co., Ltd",production,,50:50,3.9.2014,2.9.2015,Gold,0.0809,Sagaing,
0245/2014,"Shwe Ni Hla Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0246/2014,"Shwe Ni Hla Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0244/2014,"Hein Hein Than Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0268/2014,"Shwe Win Aung AungCo., Ltd",production,,50:50,15.10.2014,14.10.2015,Gold,0.0809,Sagaing,
0279/2014,"Agga Yadanar Mining Co., Ltd",production,,50:50,26.11.2014,25.11.2015,Gold,0.0809,Sagaing,
0280/2014,"Agga Yadanar Mining Co., Ltd",production,,50:50,26.11.2014,25.11.2015,Gold,0.0809,Sagaing,
0281/2014,"Agga Yadanar Mining Co., Ltd",production,,50:50,26.11.2014,25.11.2015,Gold,0.0809,Sagaing,
0299/2014,"Shwe Oh Si Mining Co., Ltd",production,,50:50,24.12.2014,23.12.2015,Gold,0.0809,Sagaing,
0273/2014,"Aung Pyae Thar Mining Co., Ltd",production,,50:50,12.11.2014,11.11.2015,Gold,0.0809,Sagaing,
0294/2014,"Shwe Se Toe Mining Co., Ltd",production,,50:50,17.12.2014,16.12.2015,Gold,0.0809,Sagaing,
0291/2014,"Shwe Let Well thonenaya Mining Co., Ltd",production,,50:50,17.12.2014,16.12.2015,Gold,0.0809,Sagaing,
0292/2014,"Shwe Let Well thonenaya Mining Co., Ltd",production,,50:50,17.12.2014,16.12.2015,Gold,0.0809,Sagaing,
0292/2009,"Shwe Htay Bamar Mining Co., Ltd",production,,50:50,1.12.2009,30.11.2015,Gold,0.0809,Sagaing,
0055/2015,"Shwe Twin Gyi  Mining Co., Ltd",production,,50:50,11.2.2015,10.2.2016,Gold,0.0809,Sagaing,
0011/2015,"Tan Chu Shin Mining Co., Ltd",production,,50:50,7.1.2015,6.1.2016,Gold,0.0809,Sagaing,
0067/2015,"Min Win Soe Mining Co.,Ltd",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Sagaing,
0068/2015,"Shwe Hein San Family Co., Ltd",production,,50:50,12.3.2015,11.3.2016,Gold,0.0809,Sagaing,
0234/2009,"Young International Mining Co.,Ltd",production,,50:50,13.11.2009,12.11.2015,Gold,0.0809,Sagaing,
0236/2009,"Young International Mining Co.,Ltd",production,,50:50,13.11.2009,12.11.2015,Gold,0.0809,Sagaing,
0191/2012,"Ko Lay Naung Co.,Ltd",production,,50:50,2.10.2012,1.10.2015,Gold,0.0809,Sagaing,
0465/2010,"San Shwe Pyi Mining  ProductionCo., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0466/2010,"San Shwe Pyi Mining  ProductionCo., Ltd",production,,50:50,6.7.2010,5.7.2015,Gold,0.0809,Sagaing,
0052/2014,"Mya Theingi Mineral Production Co., Ltd",production,,50:50,22.1.2014,21.1.2016,Gold,0.0809,Sagaing,
0053/2014,"Mya Theingi Mineral Production Co., Ltd",production,,50:50,22.1.2014,21.1.2016,Gold,0.0809,Sagaing,
0024/2015,"Mya Theingi Mineral Production Co., Ltd",production,,50:50,21.1.2015,20.1.2016,Gold,0.0809,Sagaing,
0062/2014,"Pi Naung Tai Co., Ltd",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Sagaing,
0118/2012,"Sein Mya Lwin Mining Co., Ltd",production,,50:50,21.6.2012,20.6.2015,Gold,0.0809,Sagaing,
0849/2010,"Sein Mya Lwin Mining Co., Ltd",production,,50:50,24.12.2010,23.12.2015,Gold,0.0809,Sagaing,
0293/2011,"Aung Tie San Mining Co., Ltd",production,,50:50,24.3.2011,23.3.2016,Gold,0.0809,Sagaing,
0174/2012,"Aung Tie San Mining Co., Ltd",production,,50:50,30.8.2012,29.8.2015,Gold,0.0809,Sagaing,
0217/2014,"Golden Moon Light Co.,:Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Sagaing,
0218/2014,"Golden Moon Light Co.,:Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Sagaing,
0130/2014,"Golden Valley International Development Co.,Ltd",production,,50:50,2.4.2014,1.4.2015,Gold,0.0809,Sagaing,
0129/2014,"Golden Valley International Development Co.,Ltd",production,,50:50,26.3.2014,25.3.2015,Gold,0.0809,Sagaing,
0046/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0047/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0048/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0049/2015,"Golden Valley International Development Co.,Ltd",production,,50:50,4.2.2015,3.2.2016,Gold,0.0809,Sagaing,
0258/2014,"Shwe Kyar San Co., Ltd",production,,50:50,9.10.2014,8.10.2015,Gold,0.0809,Sagaing,
0005/2013,"Shwe Kyar San Co., Ltd",production,,50:50,28.12.2013,27.12.2015,Gold,0.0809,Sagaing,
0160/2014,"Aung Pyae Pyae Phyo Co.,Ltd",production,,50:50,28.5.2014,27.5.2015,Gold,0.0809,Sagaing,
0058/2013,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,13.3.2013,12.3.2016,Gold,0.0809,Sagaing,
0067/2014,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,13.3.2013,12.3.2016,Gold,0.0809,Sagaing,
0222/2014,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,19.8.2014,18.8.2015,Gold,0.0809,Sagaing,
0259/2014,"Shinn Thant Aung Myin Mining Co., Ltd",production,,50:50,9.10.2014,8.10.2015,Gold,0.0809,Sagaing,
0070/2013,"Natural Gold Mining &Production Co., Ltd",production,,50:50,22.4.2013,21.4.2015,Gold,0.0809,Sagaing,
0133/2014,"Natural Gold Mining &Production Co., Ltd",production,,50:50,23.4.2014,22.4.2015,Gold,0.0809,Sagaing,
0148/2013,"Shwe Ma Haw Mining Co., Ltd",production,,50:50,12.7.2013,11.7.2015,Gold,0.0809,Sagaing,
0241/2014,"Shwe Ma Haw Mining Co., Ltd",production,,50:50,17.9.2014,16.9.2015,Gold,0.0809,Sagaing,
0144/2013,"Southern Banner Co., Ltd",production,,50:50,30.7.2013,29.7.2015,Gold,0.0809,Sagaing,
0145/2013,"Southern Banner Co., Ltd",production,,50:50,30.7.2013,29.7.2015,Gold,0.0809,Sagaing,
0197/2014,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,18.6.2014,17.6.2015,Gold,0.0809,Sagaing,
0236/2014,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,27.8.2014,26.8.2015,Gold,0.0809,Sagaing,
0025/2015,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Sagaing,
0026/2015,"Shwe Min Gyi Mining Co.,Ltd",production,,50:50,28.1.2015,27.1.2016,Gold,0.0809,Sagaing,
0134/2013,"Myit Phyar Tharlar Waddy Co., Ltd",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,Sagaing,
0135/2013,"Myit Phyar Tharlar Waddy Co., Ltd",production,,50:50,19.6.2013,18.6.2015,Gold,0.0809,Sagaing,
0118/2014,"Myit Phyar Tharlar Waddy Co., Ltd",production,,50:50,4.3.2014,3.3.2016,Gold,0.0809,Sagaing,
0163/2013,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,29.8.2013,28.8.2015,Gold,0.0809,Sagaing,
0021/2014,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,30.12.2014,29.12.2015,Gold,0.0809,Sagaing,
0022/2014,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,30.12.2014,29.12.2015,Gold,0.0809,Sagaing,
0206/2014,"Kaung Kin Kyei Sin Mining Co., Ltd",production,,50:50,2.7.2014,1.7.2015,Gold,0.0809,Sagaing,
0083/2013,"Shwe Sin San Myint Mining Co., Ltd",production,,50:50,22.4.2013,21.4.2015,Gold,0.0809,Sagaing,
0060/2014,"Shwe Uru Aung Mining Co., Ltd ",production,,50:50,13.2.2014,12.2.2016,Gold,0.0809,Sagaing,
0105/2014,"Shwe Htay Bamar Mining Co., Ltd",production,,50:50,2.4.2014,1.4.2015,Gold,0.0809,Sagaing,
