Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
0021/2010,"Htun Kyaye Pawl Industry Co.,Ltd",Small,29.12.2015,2015-01-29,28.12.2016,2016-12-28,Coal,Coal,0.2023,0.2023,"Shan(N), Kyaukmal, Narsaing",Shan, Kyaukmal, Narsaing,,"93B/14(622119,622113,626119,626119)",
0022/2010,"Htun Kyaye Pawl Industry Co.,Ltd",Small,29.12.2015,2015-01-29,28.12.2016,2016-12-28,Coal,Coal,0.2023,0.2023,"Shan(N), Kyaukmal, Nantan",Shan, Kyaukmal, Nantan,,"93B/14(634110,634104,638104,638110)",
 0001/2011,"Shwe Ohn Pwin Production Co.,Ltd",Small,11.1.2016,2016-01-11,10.1.2017,2017-01-10,Coal,Coal,0.2023,0.2023,"Shan(N), Naungcho, Nyauthtue",Shan, Naungcho, Nyauthtue,,"92B/12(313797,318797,318792,313792)",
 0002/2011,"UE Export & Import Co.,Ltd",Small,27.1.2016,2016-01-27,26.1.2017,2017-01-26,Coal,Coal,0.2023,0.2023,"Shan(N), Naungcho, Sin Taung",Shan, Naungcho, Sin Taung,,"93E/12(687636,669763,697632,686633)",
053/2011,"Shan Yoma Aye Chan Yae Golden Mine Product Co.,Ltd",Small,12.5.2015,2015-01-12,11.5.2016,2016-05-11,Coal,Coal,0.2023,0.2023,"Shan(N), Laisho, Pharso",Shan, Laisho, Pharso,,"93J/1(114480,119483,122479,117475)",
054/2011,"Shan Yoma Aye Chan Yae Golden Mine Product Co.,Ltd",Small,12.5.2015,2015-01-12,11.5.2016,2016-05-11,Coal,Coal,0.2023,0.2023,"Shan(N), Laisho, Pharso",Shan, Laisho, Pharso,,"93J/1(124475,122479,117475,117475,120472)",
055/2011,"Shan Yoma Aye Chan Yae Golden Mine Product Co.,Ltd",Small,12.5.2015,2015-01-12,11.5.2016,2016-05-11,Coal,Coal,0.2023,0.2023,"Shan(N), Laisho, Pharso",Shan, Laisho, Pharso,,"93J/1(126483,128478,124475,122479)",
056/2011,"Shan Yoma Aye Chan Yae Golden Mine Product Co.,Ltd",Small,12.5.2015,2015-01-12,11.5.2016,2016-05-11,Coal,Coal,0.2023,0.2023,"Shan(N), Laisho, Pharso",Shan, Laisho, Pharso,,"93J/1(119483,123485,126483,122479)",
057/2011,"Shan Yoma Aye Chan Yae Golden Mine Product Co.,Ltd",Small,12.5.2015,2015-01-12,11.5.2016,2016-05-11,Coal,Coal,0.2023,0.2023,"Shan(N), Laisho, Pharso",Shan, Laisho, Pharso,,"93J/1(126483,131483,132478,128478)",
0250/2011,"New Day Asia Co.,Ltd",Small,12.5.2015,2015-01-12,11.5.2016,2016-05-11,Lead & Associated,Lead and Associated,0.2023,0.2023,"Shan(N), Laisho, Pharso",Shan, Laisho, Pharso,,"93E/7O(297009,299009,299007,297007)",
0365/2011,"Shwe Hnin Mone Mining Co.,Ltd",Small,1.9.2015,2015-01-01,31.8.2016,2016-08-31,Copper & Associated,Copper and Associated,0.2023,0.2023,"Shan(N), Laisho, Lwal Kan",Shan, Laisho, Lwal Kan,,"93E/12(661783,661788,667877,668773)",
0366/2011,"Shwe Hnin Mone Mining Co.,Ltd",Small,1.9.2015,2015-01-01,31.8.2016,2016-08-31,Copper & Associated,Copper and Associated,0.2023,0.2023,"Shan(N), Laisho, Lwal Kan",Shan, Laisho, Lwal Kan,,"93E/12 ST(668788,672788,673783,674779, 668783)",
 0001/2012,San Myanmar International,Small,9.1.2016,2016-01-09,8.1.2017,2017-01-08,Lead & Associated,Lead and Associated,0.2023,0.2023,"Shan(N), Naung cho, Narmong",Shan, Naung cho, Narmong,,"93B/10(367012,367010,381008,378011)",
0214/2012,"Linn Sein Mining Co.,Ltd",Small,8.11.2015,2015-01-08,7.11.2016,2016-11-07,Copper,Copper,0.0809,0.0809,"Shan(N), Laisho, Nanton",Shan, Laisho, Nanton,,"93E/12/ST(668783,674779,674773,668773, 670778)",
0215/2012,"Linn Sein Mining Co.,Ltd",Small,8.11.2015,2015-01-08,7.11.2016,2016-11-07,Copper,Copper,0.0809,0.0809,"Shan(N), Laisho, Nanton",Shan, Laisho, Nanton,,"93E/12ST(666872,674772,673766,666768)",
0216/2012,"Linn Sein Mining Co.,Ltd",Small,8.11.2015,2015-01-08,7.11.2016,2016-11-07,Copper,Copper,0.0809,0.0809,"Shan(N), Laisho, Nanton",Shan, Laisho, Nanton,,"93E/12( 666767,672765,668761,663764)",
 0003/2013,"New Light Seven Co.,Ltd",Small,25.3.2016,2016-01-25,24.3.2017,2017-03-24,Coal,Coal,0.2598,0.2598,"Shan(N), Theinni Minepar",Shan, Theinni Minepar,,,"93 E/ 15(  A- 726 956,B - 723 958,C - 728 963,D - 732 960) ",
 0013/2013,"Shan Yoma Aye Chan Yae Golden Mine Product Co.,Ltd",Small,11.6.2013,2013-01-11,10.6.2016,2016-06-10,Coal,Coal,0.1983,0.1983,"Shan(N), Laisho Konepaung",Shan, Laisho Konepaung,,," 93 F/13(854374,859374,859396,854369) ",
0019/2013,"Green Asia Co.,Ltd",Small,19.6.2013,2013-01-19,18.6.2016,2016-06-18,Coal,Coal,0.2007,0.2007,"Shan(N), Laisho, Sanya",Shan, Laisho, Sanya,,"93F/13(840392,842391,837383,835385)",
0039/2014,"Thitsar Flower Co.,Ltd",Small,10.10.2015,2015-01-10,9.10.2016,2016-10-09,Gold,Gold,0.0809,0.0809,"Shan(N), Moemate, Mongmauk",Shan, Moemate, Mongmauk,,"93E/7(210916,212917,214916,212914)  ",
0040/2014,"Dana Thit Hti Kyel Co.,Ltd",Small,10.10.2015,2015-01-10,9.10.2016,2016-10-09,Gold,Gold,0.0607,0.0607,"Shan(N), Moemate, Mongmauk",Shan, Moemate, Mongmauk,,"93E/8(196899,200903,203900,20896)  ",
0059/2014,"Shell San Mining Co.,Ltd",Small,13.2.2014,2014-01-13,12.2.2017,2017-02-12,Lead,Lead,0.1914,0.1914,"Shan(N), Kyaukmal Panwhoe",Shan, Kyaukmal Panwhoe,,,93 B/10 ,
0139/2014,"San Nadi Mining Co.,Ltd",Small,30.4.2014,2014-01-30,29.4.2017,2017-04-29,Iron,Iron,0.089,0.089,"Shan(N), Kyaukmal, Mantone",Shan, Kyaukmal, Mantone,,"93E/7(210916,212917,214916,212914)  ",
0140/2014,"San Nadi Mining Co.,Ltd",Small,30.4.2014,2014-01-30,29.4.2017,2017-04-29,Iron,Iron,0.2003,0.2003,"Shan(N), Kyaukmal, Mantone",Shan, Kyaukmal, Mantone,,"93E/8(196899,200903,203900,20896)  ",
0141/2014,"Hein Htike Mining Co.,Ltd",Small,7.5.2014,2014-01-07,6.5.2017,2017-05-06,Lead & Zinc,Lead and Zinc,0.2003,0.2003,"Shan(N), Mantone, Lwal Kyau",Shan, Mantone, Lwal Kyau,,"93E/7T(223949,229960,231959,224947) ",
0193/2014,"Yadanar Htun Co.,Ltd",Small,6.7.2014,2014-01-06,5.7.2017,2017-07-05,Lead,Lead,0.2003,0.2003,"Shan(N), Laisho, Kharshei",Shan, Laisho, Kharshei,,"93F/9S(66249,668429,668425,662425) ",
0290/2014,"Shwe Li Great Mining Co.,Ltd",Small,10.12.2014,2014-01-10,9.12.2019,2019-12-09,Lead & Associated,Lead and Associated,0.1011,0.1011,"Shan(N), Muse, Mulone",Shan, Muse, Mulone,,"93E/13( 817694,819694,819697,
818697) ",
 003/2015,"New Light Year Mining Co.,Ltd",Small,28.1.2015,2015-01-28,27.1.2020,2020-01-27,Coal,Coal,0.536,0.536,"Shan(N), Theinni Minepar",Shan, Theinni Minepar,,,93.0,
0230/2010,"Myanmar Ruby Jade Co.,Ltd",Small,9.4.2015,2015-01-09,8.4.2016,2016-04-08,Gold,Gold,0.809,0.809,"Shan(N), Mabane, yangbo",Shan, Mabane, yangbo,,"93A/13
( 490458,491457,487455,
486457) ",
0231/2010,"Myanmar Ruby Jade Co.,Ltd",Small,9.4.2015,2015-01-09,8.4.2016,2016-04-08,Gold,Gold,0.0809,0.0809,"Shan(N), Mabane, yangbo",Shan, Mabane, yangbo,,"93 A/13( 489460,490459,486457,4854459) ",
0142/2015,"Shwe Sa Par Mining Co.,Ltd",Small,8.7.2015,2015-01-08,7.7.2020,2020-07-07,Lead & Associated,Lead and Associated,0.2003,0.2003,"Shan(N), Kutkhaing, Hankying",Shan, Kutkhaing, Hankying,,"93 E / 13 ( 752589, 754593, 758591, 756587)",
 0200/2015,"Ngwe Myin Phyu Co.,Ltd",Small,29.10.2015,2015-01-29,28.10.2020,2020-10-28,Lead & Zinc Associated,Lead and Zinc Associated,0.2003,0.2003,"Shan(N), Hoepan, Phathar",Shan, Hoepan, Phathar,,"93 O / 15 ( 783151, 787155, 791152, 788148)",
0021/2016,"Htan Shwe Mining Co.,Ltd",Small,1.3.2016,2016-01-01,28.2.2017,2017-02-28,Gold,Gold,0.0809,0.0809,"Shan(N), Mabane, Thahal",Shan, Mabane, Thahal,,"93 A / 11 ( 297897, 300899, 303897, 299895)",
0022/2016,"Htan Shwe Mining Co.,Ltd",Small,1.3.2016,2016-01-01,28.2.2017,2017-02-28,Gold,Gold,0.0809,0.0809,"Shan(N), Mabane, Thahal",Shan, Mabane, Thahal,," 93 A / 11 ( 290893, 295895, 295893, 291891)",
 008/2016,"Nyein Chan Kaung Kin Co.,Ltd",Small,30.3.2016,2016-01-30,29.3.2021,2021-03-29,Coal,Coal,0.1997,0.1997,"Shan(N), Tangyan, Minemar",Shan, Tangyan, Minemar,,93 J / 5,
 009/2016,"Nyein Chan Kaung Kin Co.,Ltd",Small,30.3.2016,2016-01-30,29.3.2021,2021-03-29,Coal,Coal,0.2007,0.2007,"Shan(N), Tangyan, Minemar",Shan, Tangyan, Minemar,,93 J / 5,
031/2009,"Spring Fragrance Co.,Ltd",Small,2.7.2015,2015-01-02,1.7.2016,2016-07-01,Manganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Shan( E ), Minephat, Wansarloz",Shan, Minephat, Wansarloz,,"93P/13 LP(933158,932158,931052,928149, 934153,932155)",
033/2009,"Naung Tone Nagar Mining Co.,Ltd",Small,28.7.2015,2015-01-28,27.7.2016,2016-07-27,Manganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Shan( E ), Minephat, Semone",Shan, Minephat, Semone,,"93P/13LP(934153,932148,938145,939147)",
016/2009,"Sai Laung Hein Co.,Ltd",Small,9.4.2015,2015-01-09,8.4.2016,2016-04-08,Manganese Dioxide,Manganese Dioxide,0.2023,0.2023,"Shan( E ), Tachileik, Parshan",Shan, Tachileik, Parshan,,93P/14,
 0007/2010,"Wana Thein Than Mineral Production Co.,Ltd",Small,16.9.2013,2013-01-16,15.9.2015,2015-09-15,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Aryae",Shan, Tachileik, Aryae,,"93P/14 LU(961964,968966,967969,960967)",
 0008/2010,"Hein Linn San Mining Co.,Ltd",Small,16.9.2015,2015-01-16,15.9.2016,2016-09-15,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Aryae",Shan, Tachileik, Aryae,,"93P/14LU(967969,969967,968975,965975)",
 0009/2010,"San para mi Production Co.,Ltd",Small,21.10.2015,2015-01-21,20.10.2016,2016-10-20,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Aryae",Shan, Tachileik, Aryae,,"93P/14 LU(968959,968967,971967,971959)",
 0005/2011,"Spring Fragrance Co.,Ltd",Small,17.2.2016,2016-01-17,16.2.2017,2017-02-16,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Minewin",Shan, Tachileik, Minewin,,"93P/14LU(861953,863953,863955,862955,866960,868965,865965,865960,861955)",
 0007/2011,"Myint Oo Aung Co.,Ltd",Small,25.2.2015,2015-01-25,24.2.2016,2016-02-24,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Aryae",Shan, Tachileik, Aryae,,"93P/14 LU(965948,970948,970943,965943)",
0376/2011,"Eastern Highland Mining Co.,Ltd",Small,27.10.2015,2015-01-27,26.10.2016,2016-10-26,Antimony,Antimony,0.2003,0.2003,"Shan( E ), Matman Phankaw",Shan, Matman Phankaw,,,"93K/9J(570612,578609,578612,567678)",
063/2011,"Sai Laung Hein Co.,Ltd",Small,9.11.2015,2015-01-09,8.11.2016,2016-11-08,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"93P/14(966955,971955,971959,968959,968960, 966960)",
 0002/2012,"Mahar Shwe La Woun Mining Co.,Ltd",Small,10.1.2016,2016-01-10,9.1.2017,2017-01-09,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"93P/14 LU(965938,970938,970943,965943)",
0027/2012,KBZ Industry Enterprise,Small,8.3.2015,2015-01-08,7.3.2016,2016-03-07,Coal,Coal,0.0598,0.0598,"Shan( E ), Minephat, Wanlone",Shan, Minephat, Wanlone,,"93P/13 LP(977279,975280,973276,974274)",
0028/2012,"Hein Linn San Mining Co.,Ltd",Small,30.5.2015,2015-01-30,29.5.2016,2016-05-29,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Aryae",Shan, Tachileik, Aryae,,"93P/14(966951,972951,972955,966955)",
0065/2012,"Wana Thein Than Mineral Production Co.,Ltd",Small,5.12.2012,2012-01-05,4.12.2015,2015-12-04,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, minekose",Shan, Tachileik, minekose,,"93P/14(961964,968966,967969,960967)",
 0002/2013,"Kyauk Saungni Mining Co.,Ltd",Small,12.12.2015,2015-01-12,11.12.2016,2016-12-11,Manganese Dioxide,Manganese Dioxide,0.2003,0.2003,"Shan( E ), Tachileik, Aryae",Shan, Tachileik, Aryae,,"93P/14 LU(957967,960967,966969,966972, 963972, 963970,957969)",
0191/2013,"Sat Wine InArr Mining Co.,Ltd",Small,30.10.2013,2013-01-30,29.10.2016,2016-10-29,Lead,Lead,0.2003,0.2003,"Shan( E ), Mineyaung, Waunman",Shan, Mineyaung, Waunman,,"102C/8LL(522609,524613,523615,519610)",
0192/2013,"Sat Wine InArr Mining Co.,Ltd",Small,30.10.2013,2013-01-30,29.10.2016,2016-10-29,Lead,Lead,0.2003,0.2003,"Shan( E ), Mineyaung, Waunman",Shan, Mineyaung, Waunman,,"102C/8LL(524606,528601,525612,523600)",
0193/2013,"Sat Wine InArr Mining Co.,Ltd",Small,30.10.2013,2013-01-30,29.10.2016,2016-10-29,Lead,Lead,0.2003,0.2003,"Shan( E ), Mineyaung, Waunman",Shan, Mineyaung, Waunman,,"102C/8 LL(524615,525618,523620,521618)",
0194/2013,"Sat Wine InArr Mining Co.,Ltd",Small,30.10.2013,2013-01-30,29.10.2016,2016-10-29,Lead,Lead,0.2003,0.2003,"Shan( E ), Mineyaung, Waunman",Shan, Mineyaung, Waunman,,"102C/8LL(528612,530613,526617,525615)",
0195/2013,"Sat Wine InArr Mining Co.,Ltd",Small,30.10.2013,2013-01-30,29.10.2016,2016-10-29,Lead,Lead,0.2003,0.2003,"Shan( E ), Mineyaung, Waunman",Shan, Mineyaung, Waunman,,"102C/8LL(519611,522615,520617,517613)",
0199/2014,"Loimei Kan Co.,Ltd",Small,2.7.2014,2014-01-02,1.7.2017,2017-07-01,Tin-Tungsten,Tin and Tungsten,0.2003,0.2003,"Shan( E ), Minetone, Minekan",Shan, Minetone, Minekan,,"93L/14T(593986,598986,598981,593981)  ",
0200/2014,"Loimei Kan Co.,Ltd",Small,2.7.2014,2014-01-02,1.7.2017,2017-07-01,Tin-Tungsten,Tin and Tungsten,0.2003,0.2003,"Shan( E ), Minetone, Minekan",Shan, Minetone, Minekan,,"93L/14T(600978,605978,605973,600973)  ",
0201/2014,"Loimei Kan Co.,Ltd",Small,2.7.2014,2014-01-02,1.7.2017,2017-07-01,Tin-Tungsten,Tin and Tungsten,0.2003,0.2003,"Shan( E ), Minetone, Minekan",Shan, Minetone, Minekan,,"93L/14T(612992,617992,617987,612987)  ",
0202/2014,"Loimei Kan Co.,Ltd",Small,2.7.2014,2014-01-02,1.7.2017,2017-07-01,Tin-Tungsten,Tin and Tungsten,0.2003,0.2003,"Shan( E ), Minetone, Minekan",Shan, Minetone, Minekan,,"93L/14T(620997,625997,625992,620992)  ",
0261/2014,"Shwe Lar Hue Co.,Ltd",Small,9.10.2014,2014-01-09,8.10.2019,2019-10-08,Antimony,Antimony,0.2003,0.2003,"Shan( E ), Minetone, Lwal Kan lone",Shan, Minetone, Lwal Kan lone,,"93L/15T(799689,803689,803684,799684) ",
0262/2014,"Shwe Lar Hue Co.,Ltd",Small,9.10.2014,2014-01-09,8.10.2019,2019-10-08,Antimony,Antimony,0.2003,0.2003,"Shan( E ), Minetone, Lwal Kan lone",Shan, Minetone, Lwal Kan lone,,"93L/15T( 799683,803683,803679,800678) ",
036/2015,"Minn Khit Thit Co.,Ltd",Small,24.6.2015,2015-01-24,10.2.2020,2020-02-10,Coal,Coal,0.2003,0.2003,"Shan( E ), Tachileik, Minehal",Shan, Tachileik, Minehal,,93P/14,
0211/2011,"Hein Kaung Sett Co.,Ltd",Small,25.2.2016,2016-01-25,24.2.2017,2017-02-24,Gold,Gold,0.0809,0.0809,"Shan( E ), Mineyu, Tarkyant",Shan, Mineyu, Tarkyant,,"102C/11(600793,602792,602786,600785,599786)",
0202/2011,"Two Dragon Co.,Ltd",Small,25.2.2016,2016-01-25,24.2.2017,2017-02-24,Gold,Gold,0.0809,0.0809,"Shan( E ), Mineyu, Tarkyant",Shan, Mineyu, Tarkyant,,"102C/11(602792,606789,606787,604785,602789)",
0108/2012,"Linn Hlyan Htet Co.,Ltd",Small,22.5.2015,2015-01-22,21.5.2016,2016-05-21,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102D 2+6(161982,164982,164982,161985)",
0173/2012,"Ngwe Taung Min Co.,Ltd",Small,30.8.2016,2016-01-30,29.8.2017,2017-08-29,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102D/2(164989,168989,168991,166991,166992,164992)",
0069/2013,"Shwe Nadi Myat Co.,Ltd",Small,7.3.2015,2015-01-07,6.3.2016,2016-03-06,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D/2+6(163969,164969,164968, 166986, 166965,163965)  ",
0085/2013,"Happy Confortable Co.,Ltd",Small,7.3.2015,2015-01-07,6.3.2016,2016-03-06,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102D/2+6(143964,146965,150965,150964,148964, 148961,143963)",
0117/2013,"Aung Win Nay Co.,Ltd",Small,19.6.2015,2015-01-19,18.6.2016,2016-06-18,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102D/2+6(165988,165986,170986,170988)",
0118/2013,"Aung Win Nay Co.,Ltd",Small,19.6.2015,2015-01-19,18.6.2016,2016-06-18,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102D/2+6(173996,173995,173994,172994,171994,171992,2174992,174995)",
0034/2014,"Lar Hue Brothers Mining Co.,Ltd",Small,15.1.2015,2015-01-15,14.1.2016,2016-01-14,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102 D/2+6(156978,158978,158983,156983) ",
0048/2014,"Ngwe Taung Min Co.,Ltd",Small,28.1.2015,2015-01-28,27.1.2016,2016-01-27,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102D2+6(168989,173989,173991,168991)",
0049/2014,Shwe Kying Tong,Small,28.1.2015,2015-01-28,27.1.2016,2016-01-27,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D/2+6(166959,167959, 167958,168954, 167953,166953) ",
0237/2014,"Two Dragon Co.,Ltd",Small,3.9.2015,2015-01-03,2.9.2016,2016-09-02,Gold,Gold,0.0627,0.0627,"Shan( E ), Mineyu, Tarkyant",Shan, Mineyu, Tarkyant,,"102 C/11( 597786,599786,600783,597783)  ",
0282/2014,"Taine Chit Min Co.,Ltd",Small,26.11.2015,2015-01-26,25.11.2016,2016-11-25,Gold,Gold,0.0667,0.0667,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D/ 2+6(155951,157951,157947,155947) ",
0306/2014,"Wai Tal Co.,Ltd",Small,31.12.2015,2015-01-31,30.12.2016,2016-12-30,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, SETCL-34",Shan, Tachileik, SETCL-34,,"102D/2+6(161980,167980,167978,163978, 163979)",
0027/2015,"Shwe Htoo San Co.,Ltd",Small,28.1.2015,2015-01-28,27.1.2016,2016-01-27,Gold,Gold,0.0631,0.0631,"Shan( E ), Tachileik, SETCL-37",Shan, Tachileik, SETCL-37,,"102D/1(254114,258116,258116,253117) ",
0053/2015,"Myint Oo Aung Co.,Ltd",Small,4.2.2016,2016-01-04,3.2.2017,2017-02-03,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, SETCL-40",Shan, Tachileik, SETCL-40,,"102D/2+6(159990,162990,163993,160994)",
0073/2015,"Hein Myittar Co.,Ltd",Small,12.3.2016,2016-01-12,11.3.2017,2017-03-11,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, SETCL-43",Shan, Tachileik, SETCL-43,,"102D/1(248132,253132,253130,248130)",
0074/2015,"Hein Myittar Co.,Ltd",Small,12.3.2016,2016-01-12,11.3.2017,2017-03-11,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, SETCL-44",Shan, Tachileik, SETCL-44,,"102D/1(254162,259132,259130,245130)",
0071/2015,"Mahar TaKhun Co.,Ltd",Small,12.3.2016,2016-01-12,11.3.2017,2017-03-11,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, SETCL-41",Shan, Tachileik, SETCL-41,,"102D/1( 242132,247132,247130,242130)",
0072/2015,"Mahar TaKhun Co.,Ltd",Small,12.3.2016,2016-01-12,11.3.2017,2017-03-11,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, SETCL-42",Shan, Tachileik, SETCL-42,,"102D/1(241129,243129,243124,241124)",
0100/2015,"Happy Confortable Co.,Ltd",Small,29.4.2016,2016-01-29,28.4.2017,2017-04-28,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102 D 2 & 6 (150972, 150974, 146974, 146971, 148971)",
0103/2015,"San para mi Production Co.,Ltd",Small,13.5.2015,2015-01-13,12.5.2016,2016-05-12,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minelinn",Shan, Tachileik, Minelinn,,"102 D / 2 & 6 ( 222107, 219111, 218111, 219105)",
0104/2015,"San para mi Production Co.,Ltd",Small,13.5.2015,2015-01-13,12.5.2016,2016-05-12,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minelinn",Shan, Tachileik, Minelinn,,"102 D / 2 & 6 ( 222107, 224109, 223111, 220112)",
0109/2015,"Shan Shae Linn Lat Co.,Ltd",Small,13.5.2015,2015-01-13,12.5.2016,2016-05-12,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D/ 2 & 6 ( 146960, 150960, 150957, 148957, 146958)",
0110/2015,Shwe Kying Tong,Small,20.5.2015,2015-01-20,19.5.2016,2016-05-19,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102 D / 2 & 6 ( 150997, 150979, 145979, 145977)",
0111/2015,"May Flower Mining Co.,Ltd",Small,27.5.2016,2016-01-27,26.5.2017,2017-05-26,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D / 2&6 ( 150964, 152964, 152959, 150959)",
0112/2015,"May Flower Mining Co.,Ltd",Small,27.5.2016,2016-01-27,26.5.2017,2017-05-26,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,," 103 D/ & 6 ( 158964, 160964, 160959, 158959)",
0113/2015,"May Flower Mining Co.,Ltd",Small,27.5.2016,2016-01-27,26.5.2017,2017-05-26,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"104 D / 2 & 6 ( 150954, 155954, 155952, 150952)",
0114/2015,"May Flower Mining Co.,Ltd",Small,27.5.2016,2016-01-27,26.5.2017,2017-05-26,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"105 D/2 & 6 (155954, 060954, 160952, 155952)",
0136/2015,"Sein Linn Kyi Co.,Ltd",Small,1.7.2015,2015-01-01,30.6.2016,2016-06-30,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D / 2&6 ( 152952, 154952, 154947, 152947)",
0143/2015,"Hone Ywan Seint Co.,Ltd",Small,8.7.2015,2015-01-08,7.7.2016,2016-07-07,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Nankane",Shan, Tachileik, Nankane,,"102 D / 1 ( 265125, 266125, 268126, 268122, 265122, 263124)",
0145/2015,Sai Agriculture,Small,8.7.2015,2015-01-08,7.7.2016,2016-07-07,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102 D/ 2&6 ( 180013, 182013, 182088, 180008)",
0146/2015,Sai Agriculture,Small,8.7.2015,2015-01-08,7.7.2016,2016-07-07,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102 D/2 & 6 ( 184013, 182013, 182008, 184008)",
0141/2015,"Gyin Ru Co.,Ltd",Small,1.7.2015,2015-01-01,30.6.2016,2016-06-30,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D / 2 &6 ( 139951, 143948, 141947, 138948)",
0157/2015,"Lar Hue Brothers Mining Co.,Ltd",Small,29.7.2015,2015-01-29,28.7.2016,2016-07-28,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekoe",Shan, Tachileik, Minekoe,,"102 D / 2& 6 ( 162952, 164952, 164947, 162947)",
0156/2015,"Shwe Nadi Myat Co.,Ltd",Small,29.7.2015,2015-01-29,28.7.2016,2016-07-28,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Minekying",Shan, Tachileik, Minekying,,"102 D/ 2& 6 ( 157952, 159954, 159947, 157947)",
0165/2015,"Htun Pyae Thein San Co.,Ltd",Small,5.8.2015,2015-01-05,4.8.2016,2016-08-04,Gold,Gold,0.0809,0.0809,"Shan( E ), Tachileik, Naryaung",Shan, Tachileik, Naryaung,,"102 D / 2& 6 ( 120690, 122960, 122954, 120955)",
