Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
 0003/2010,Myanmar Economic Holding Limited,Large,"5.3.2010
5.3.2013",2010-01-05,"4.3.2013
4.3.2048",2048-03-04,Copper,Copper,28.1724,28.1724,"Sagaing,SarLinngyi, Latpan Tauing",Sagaing,SarLinngyi, Latpan Tauing,,LPB(30 22 5 38. 708280 95 4 27 . 038410),
 0004/2008,Myanmar CNMC Nickel Co; LTD,Large,28.7.2008,2008-01-28,27.7.2028,2028-07-27,Nickel,Nickel,20.59,20.59,"Mandalay,TapatKying,
Sagaing,Takaung Taung",Mandalay,TapatKying,"
Sagaing",Takaung Taung,93 A/3 A(N-23-36 E-96-06)B(N 23-36E 96-10) C(N-23-33 E-93-10)D(N-23-33-E-96-06),
 0015/2010,"Dagon Mining Co.,Ltd",Large,29.10.2010,2010-01-29,28.10.2020,2020-10-28,Coal,Coal,13.4373,13.4373,"Sagaing,Mawlite,Dartawe Kyaut Chaung",Sagaing,Mawlite,Dartawe Kyaut Chaung,,"83 I /5RP (795519, 825500, 793460,763459, 773489)",
 0005/2011,"Shwe Taung Mining Co.,Ltd",Large,18.1.2011,2011-01-18,17.1.2036,2036-01-17,Coal,Coal,13.6714,13.6714,"Sagaing,Kalay Wa, PaLuZawa Chung",Sagaing,Kalay Wa, PaLuZawa Chung,,"84 I /7(779999,789999, 786840,777840)",
 0007/2011,"Group Of Four Co.,Ltd",Large,18.1.2011,2011-01-18,17.1.2021,2021-01-17,Coal,Coal,26.6049,26.6049,"Sagaing,Mawlite,Dartawe Kyaut Chaung",Sagaing,Mawlite,Dartawe Kyaut Chaung,,"84 I/1+2+5+6(759459, 801461, 750380,750360, 716360,719380)",
 0008/2011,"Max Myanmar Co.,Ltd",Large,21.1.2011,2011-01-21,20.1.2036,2036-01-20,Coal,Coal,21.237,21.237,"Sagaing,Kalay Wa,Thit Kyout",Sagaing,Kalay Wa,Thit Kyout,,"84 I/14+7+8 RU(754760,790760, 780760, 787698, 740698)",
 0011/2011,YIG,Large,4.2.2011,2011-01-04,3.2.2036,2036-02-03,Coal,Coal,22.6629,22.6629,"Sagaing,Mawlite,Dartawe Kyaut Chaung",Sagaing,Mawlite,Dartawe Kyaut Chaung,,"84 I /5(872644,907615, 868566,835594)",
0022/2011,"Dagon Mining Co.,Ltd",Large,21.1.2015,2015-01-21,16.2.2021,2021-02-16,Coal,Coal,3.80413,3.80413,"Sagaing,Mawlite,MawKu",Sagaing,Mawlite,MawKu,,"84 I / 5 & 6( 834390 , 840390, 840383 ,  847373,  847345, 834345)",
0031/2011,"Mandalay Distribution & Mining  Co.,Ltd",Large,8.3.2010,2010-01-08,7.3.2021,2021-03-07,Coal,Coal,12.6675,12.6675,"Sagaing,Mawlite,Nanpanmon Chaung",Sagaing,Mawlite,Nanpanmon Chaung,,"84 I/5(720360, 750360,750315)84 I/6(720304)",
0042/2011,"Asia Phyo Mining Co.,Ltd",Large,30.3.2011,2011-01-30,29.3.2021,2021-03-29,Limestone,Limestone,2.42817,2.42817,"Sagaing,KantBalu,Zin Taung",Sagaing,KantBalu,Zin Taung,,"84 M/15(594988,612988, 612970,594970)",
0086/2007,"Forever Mining Co.,Ltd",Large,1.8.2017,2017-01-01,31.7.2031,2031-07-31,Gold,Gold,31.7191,31.7191,"Sagaing,Kaw Linn,Kyaut Pa Htoe",Sagaing,Kaw Linn,Kyaut Pa Htoe,,"84 M/13(593479,602502, 626509, 618503, 531506,632499, 618481, 619477, 614475, 606479, 604484)",
 0009/2014,"Htun Toug Sa Co.,Ltd",Large,26.11.2014,2014-01-26,25.11.2024,2024-11-25,Coal,Coal,0.59081,0.59081,"Sagaing,TaMue,Kyaut Pyin Chaung",Sagaing,TaMue,Kyaut Pyin Chaung,,"85 I /5(814603, 840642, 858631, 832592)",
 0012/2014,Mandalay Shwe Friend Mining,Large,17.12.2014,2014-01-17,16.12.2024,2024-12-16,Coal,Coal,0.77701,0.77701,"Sagaing,Kalay Wa,PaLuZawa",Sagaing,Kalay Wa,PaLuZawa,,"84 I/7(787020,793018, 795018, 792000, 788000,791005,787000)",
 0015/2014,"Kan Pwin Oo Mining Co.,Ltd",Large,17.12.2014,2014-01-17,16.12.2024,2024-12-16,Coal,Coal,1.67657,1.67657,"Sagaing,Kalay Wa,PaLuZawa",Sagaing,Kalay Wa,PaLuZawa,,"84 I /7(769047,774045, 765027, 760029) (803045,808044,800024, 795025)",
