Code/Ref,License hoder,Company_Name_cl,Type of License,License_type_cl,Date of application,Application_date_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Arces),Area_acre_cl,Location (Region),License_location_cl,Coordinates of the Iicense area
0026/2010,"Eastern  Mining Co., Ltd ","Eastern Mining Co., Ltd",Large Scale,Large Scale,2010-02-03T00:00:00Z,2010-02-03,2017-02-02T00:00:00Z,2017-02-02,2.2.2017,2017-02-02,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,49.0,49.0,B 4,B 4,"95 J/8 -
(396670,402670,402666,396666)"
0027/2010,"Eastern  Mining Co., Ltd ","Eastern Mining Co., Ltd",Large Scale,Large Scale,2010-02-03T00:00:00Z,2010-02-03,2017-02-02T00:00:00Z,2017-02-02,2.2.2017,2017-02-02,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,49.0,49.0,Yay Pu Taung ,Yay Pu Taung,"95 J/8 -
(396676,402676,402672,396672)"
0028/2010,"Eastern  Mining Co., Ltd ","Eastern Mining Co., Ltd",Large Scale,Large Scale,2010-02-11T00:00:00Z,2010-02-11,2016-02-10T00:00:00Z,2016-02-10,10.2.2016,2016-02-10,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,49.5,49.5,Chaung Oo Tao,Chaung Oo Tao,"95 J/8 -
(420536,426536,426532,420532)"
0187/2010,"Grand Eden  Mining Co., Ltd ","Grand Eden Mining Co., Ltd",Large Scale,Large Scale,2010-03-12T00:00:00Z,2010-03-12,2016-03-11T00:00:00Z,2016-03-11,11.3.2016,2016-03-11,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,49.0,49.0,South- West ,South- West,"95 J/8 O-
(369697,376696,377698,370700)"
0374/2011,"Htin Kyaw Win Co.,Ltd ","Htin Kyaw Win Co.,Ltd",Large Scale,Large Scale,2011-10-25T00:00:00Z,2011-10-25,2016-10-24T00:00:00Z,2016-10-24,24.10.2016,2016-10-24,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,49.0,49.0,Htee Vwae Shine,Htee Vwae Shine,"95 J/8  
(A- 466635,B-468637, C-474632, D-472630)"
0190/2013,"East Manufacturing Co.,Ltd","East Manufacturing Co.,Ltd",Large Scale,Large Scale,2013-11-07T00:00:00Z,2013-11-07,2016-11-06T00:00:00Z,2016-11-06,6.11.2016,2016-11-06,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,49.5,49.5,"Pyar Swel 
Taung (A)",Pyar Swel Taung (A)," 95 J /8 O 
( 346680,  350680,  350674,  346674)"
0128/2012,"Aung Hein Bo Win   Co.,Ltd","Aung Hein Bo Win Co.,Ltd",Large Scale,Large Scale,2012-04-08T00:00:00Z,2012-04-08,2017-04-07T00:00:00Z,2017-04-07,7.4.2017,2017-04-07,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,45.0,45.0,"Own Pin Kwin
(30 -OSS )",Own Pin Kwin (30 -OSS ),"95 F/14  
(A-925200, B-925225, C-930225, D-930230)"
0212/2013,"Man Pyae Phyo Co., ltd","Man Pyae Phyo Co., ltd",Large Scale,Large Scale,2012-05-22T00:00:00Z,2012-05-22,2016-05-21T00:00:00Z,2016-05-21,21.5.2016,2016-05-21,Tin,Tin,37.0,37.0,"Own Pin Kwin
(306 - A )",Own Pin Kwin (306 - A ),"96 I / 15 -UD  - (750373, 750365,
747365, 747373)"
0112/2012,"Phuk par(L)Co.,Ltd","Phuk par(L)Co.,Ltd",Large Scale,Large Scale,2015-03-12T00:00:00Z,2015-03-12,2018-03-11T00:00:00Z,2018-03-11,11.3.2018,2018-03-11,"Tin/Tungsten
 Mixed",Tin and Tungsten Mixed,40.5,40.5,"TNTY(19)
Katin Taung",TNTY(19) Katin Taung,"95 J/2 H-
(942250,946247,  945245,  937250)"
0062/2015,"Htun Kyae Tapwint Co.,Ltd","Htun Kyae Tapwint Co.,Ltd",Large Scale,Large Scale,2010-08-04T00:00:00Z,2010-08-04,2016-08-03T00:00:00Z,2016-08-03,3.8.2016,2016-08-03,Tin,Tin,49.0,49.0,Mayin Hla (1),Mayin Hla (1),"95 J/7 (A-325817,
B-325820,C-333822, D-331819)"
0486/2010,"Golden Sea Mining Co., Ltd ","Golden Sea Mining Co., Ltd",Large Scale,Large Scale,2010-08-04T00:00:00Z,2010-08-04,2016-08-03T00:00:00Z,2016-08-03,3.8.2016,2016-08-03,Tin,Tin,48.0,48.0,Mayin Hla (2),Mayin Hla (2),"95 L/11  Y-
 (723374, 731374,729370,725370)"
0487/2010,"Golden Sea Mining Co., Ltd ","Golden Sea Mining Co., Ltd",Large Scale,Large Scale,2010-08-04T00:00:00Z,2010-08-04,2016-08-03T00:00:00Z,2016-08-03,3.8.2016,2016-08-03,Tin,Tin,49.0,49.0,Mayin Hla (3),Mayin Hla (3),"95 L/11 Y
(725369,733369,733368,728368,728363,725363)"
0489/2010,"Golden Sea Mining Co., Ltd ","Golden Sea Mining Co., Ltd",Large Scale,Large Scale,2010-05-21T00:00:00Z,2010-05-21,2013-05-21T00:00:00Z,2013-05-21,21.5.2013,2013-05-21,Tin,Tin,49.0,49.0,Pa Kar Yi,Pa Kar Yi,"95 L/12 Y-
( 747362,747356,743356,743362)"
0363/2010,"Mining World  Mining Co., Ltd ","Mining World Mining Co., Ltd",Large Scale,Large Scale,2010-05-21T00:00:00Z,2010-05-21,2013-05-21T00:00:00Z,2013-05-21,21.5.2013,2013-05-21,Tin,Tin,49.0,49.0,Yay Wyine,Yay Wyine,"95 J/8  A- 296604, 
B-300604,C-300598,D-296598"
0362/2010,"Mining World  Mining Co., Ltd ","Mining World Mining Co., Ltd",Large Scale,Large Scale,2011-03-18T00:00:00Z,2011-03-18,2014-03-18T00:00:00Z,2014-03-18,18.3.2014,2014-03-18,Tin,Tin,49.0,49.0,Sin Twin Gyi,Sin Twin Gyi,"95 J/8 A-247697,
 B-257697,C-257695,D-247695"
0247/2011,"Mining World  Mining Co., Ltd ","Mining World Mining Co., Ltd",Large Scale,Large Scale,2011-02-24T00:00:00Z,2011-02-24,2017-02-23T00:00:00Z,2017-02-23,23.2.2017,2017-02-23,Tin,Tin,49.0,49.0,"Khokyun (near )
Yae Ayauk",Khokyun (near ) Yae Ayauk,"95 J/8 O-
301601,309599,308596,300598"
0186/2011,"Aung Dana Thukha Co.,Ltd","Aung Dana Thukha Co.,Ltd",Large Scale,Large Scale,2010-03-05T00:00:00Z,2010-03-05,2015-03-04T00:00:00Z,2015-03-04,4.3.2015,2015-03-04,Tin,Tin,49.5,49.5,Yae Ngun Kyi,Yae Ngun Kyi,"96 I/11  UD-
(660202,664198,664194,660194)"
0773/2010,"Wai International Export & 
Import Mining Co., Ltd ","Wai International Export & Import Mining Co., Ltd",Large Scale,Large Scale,2010-10-29T00:00:00Z,2010-10-29,2016-10-28T00:00:00Z,2016-10-28,28.10.2016,2016-10-28,Tin,Tin,49.0,49.0,Tha Balk Lade (1) ,Tha Balk Lade (1),"95 P/8 Z-
(355081,357081,357069,355069)"
0774/2010,"Wai International Export & 
Import Mining Co., Ltd ","Wai International Export & Import Mining Co., Ltd",Large Scale,Large Scale,2010-10-29T00:00:00Z,2010-10-29,2016-10-28T00:00:00Z,2016-10-28,28.10.2016,2016-10-28,Tin,Tin,49.0,49.0,Tha Balk Lade (2) ,Tha Balk Lade (2),"95 P/8 Z-
(353091,356091,356083,353083)"
