Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
0196/2014,"Shwe Toetap Wai yang Co.,Ltd",Small,,2014-06-18T00:00:00Z,2014-06-18,2015-06-17T00:00:00Z,2015-06-17,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83P/5( 916752,919753,918756,915755)",
0184/2014,"Shwe Hnin Hnin Kyaw Co.,ltd",Small,,2014-03-12T00:00:00Z,2014-03-12,2015-03-11T00:00:00Z,2015-03-11,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Marlone",Sagaing,Homalin,Marlone,,"83P/1( 650714,650715,648716,645717, 645714)",
0185/2014,"Shwe Hnin Hnin Kyaw Co.,ltd",Small,,2014-03-12T00:00:00Z,2014-03-12,2015-03-11T00:00:00Z,2015-03-11,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Marlone",Sagaing,Homalin,Marlone,,"83P/1( 654718,654720,649720,649718)",
0195/2014,"Zayar Thaung Co.,Ltd",Small,,2014-06-18T00:00:00Z,2014-06-18,2015-06-17T00:00:00Z,2015-06-17,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,OhBo ",Sagaing,Homalin,OhBo ,,"83L/10( 202309,200309,199311,200313, 203312)",
0197/2014,"Shwe Min Gyi Co.,Ltd",Small,,2014-06-18T00:00:00Z,2014-06-18,2015-06-17T00:00:00Z,2015-06-17,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ManHone",Sagaing,Homalin,ManHone,,"83P/1(648648,650648,650643,648643)",
0155/2014,"Shwe ThuKha Aung Co.,Ltd",Small,,2014-03-12T00:00:00Z,2014-03-12,2015-03-11T00:00:00Z,2015-03-11,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Laungmin",Sagaing,Homalin,Laungmin,,"83L/14( 286493,284492,284486,284487)",
0135/2014,"Mya & Kyu Co.,Ltd",Small,,2014-04-09T00:00:00Z,2014-04-09,2015-04-08T00:00:00Z,2015-04-08,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Poaktho",Sagaing,Homalin,Poaktho,,"83K/16( 482922,481915,480916,481923)",
0136/2014,"Mya & Kyu Co.,Ltd",Small,,2014-04-09T00:00:00Z,2014-04-09,2015-04-08T00:00:00Z,2015-04-08,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Poaktho",Sagaing,Homalin,Poaktho,,"83K/16(487914, 485910, 482914, 483914, 485612, 486914) ",
0189/2014,"727 Mining Co.,Ltd",Small,,2014-06-11T00:00:00Z,2014-06-11,2015-06-10T00:00:00Z,2015-06-10,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,NarNapTun",Sagaing,Bamouk,NarNapTun,,"83P/9(281698,281697,289704,288705)",
0186/2014,"Bo Myint Min Zaw Co.,Ltd",Small,,2014-05-27T00:00:00Z,2014-05-27,2016-05-27T00:00:00Z,2016-05-27,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaungPhoung",Sagaing,Homalin,LaungPhoung,,"83P/5( 817715,819714,820715,822715, 822717, 823717, 823718)",
0203/2014,"Yadanar Aung Pan Co.,Ltd",Small,,2014-06-18T00:00:00Z,2014-06-18,2015-06-17T00:00:00Z,2015-06-17,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,"83O/15( 459346,459343,464343,464344)",
0217/2014,"Shwe La Yaung Co.,Ltd",Small,,2014-03-26T00:00:00Z,2014-03-26,2015-03-25T00:00:00Z,2015-03-25,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaungPhoung",Sagaing,Homalin,LaungPhoung,,"83P/5(817715,817716,825721,626720)",
0218/2014,"Shwe La Yaung Co.,Ltd",Small,,2014-03-26T00:00:00Z,2014-03-26,2015-03-25T00:00:00Z,2015-03-25,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaungPhoung",Sagaing,Homalin,LaungPhoung,,"83P/5(816718,816719,825716)",
0207/2014,"Pyi Chit Thar Mining Co.,Ltd",Small,,2014-07-02T00:00:00Z,2014-07-02,2015-07-01T00:00:00Z,2015-07-01,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83P/5( 883679, 886677, 884679, 886680, 888678, 889679, 887682)",
0214/2014,"Tun Myint Myat Aung Co.,Ltd",Small,,2014-07-30T00:00:00Z,2014-07-30,2015-07-29T00:00:00Z,2015-07-29,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,"83O/15( 4511319, 453316 456318 454321)",
0222/2014,"Shin Thant Aung Myin Co.,Ltd",Small,,2014-08-19T00:00:00Z,2014-08-19,2015-08-18T00:00:00Z,2015-08-18,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83P/5( 915759,915756,917757,918756, 915755, 914757)",
0238/2014,"Shwe Lin Aung Co.,Ltd",Small,,2014-09-03T00:00:00Z,2014-09-03,2015-09-02T00:00:00Z,2015-09-02,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,KwelKawGyi",Sagaing,Bamouk,KwelKawGyi,,"83P/15(581175, 580177,576175,577173)",
0235/2014,"Cho Group Production C.,Ltd",Small,,2014-08-27T00:00:00Z,2014-08-27,2015-08-26T00:00:00Z,2015-08-26,Gold,Gold,0.0809,0.0809,"Sagaing,PinLelbu,Magyipin",Sagaing,PinLelbu,Magyipin,,"83P/12(194867,197864,197862,194865)",
0245/2014,"Shwe Ni Hla Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,ManInMinKone",Sagaing,Bamouk,ManInMinKone,,"83P/10( 274555,276554,276549,273549, 274550, 275553)",
0246/2044,"Shwe Ni Hla Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,",Sagaing,Bamouk,,,"83P/10(272553,274555,275553,274550)",
0247/2014,"Shwe Sin Tun(Namptaw) Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaungPhoung",Sagaing,Homalin,LaungPhoung,,"83P/5( 804711,805713,808714,810714, 810713, 808713)",
0250/2014,"Lin Khant Kyaw Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,NaungMoe",Sagaing,Homalin,NaungMoe,,"83P/5(892773,891773,890768,895767,895768,891769)",
0244/2014,"Hein Hein Than Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,ManInMinKone",Sagaing,Bamouk,ManInMinKone,,"83P/10(228511,228510,231510,231512,229514,229512)",
0239/2014,"Exploration Art Myanmar Co.,Ltd",Small,,2014-09-03T00:00:00Z,2014-09-03,2015-09-02T00:00:00Z,2015-09-02,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SayTiSate",Sagaing,Homalin,SayTiSate,,"83P/5(965846,967846,967851,965851)",
206/2014,"Kaungkin Kyi Sin Co,.Ltd",Small,,2014-07-02T00:00:00Z,2014-07-02,2015-07-01T00:00:00Z,2015-07-01,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,NyuangKone",Sagaing,Homalin,NyuangKone,,"83P/5(028699,031699,037702,037703,031700 ,029700)",
0236/2014,"Shwe Min Gyi Co.,Ltd",Small,,2014-08-27T00:00:00Z,2014-08-27,2015-08-26T00:00:00Z,2015-08-26,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ManHone",Sagaing,Homalin,ManHone,,"83P/1(644650,645650,645646,647646,647644, 644644)",
0241/2014,"Shwe Ma Haw Mining Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83P/5(908771, 909769,907766,905768)",
0243/2014,Shwe Pyi Kyaw,Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Phoungpin,PhoungTaw",Sagaing,Phoungpin,PhoungTaw,,"83L/12(138800,140799,143800,141802)",
0248/2014,"Myanmar Shwe Kone Myint Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Wintho,TaungNi Ma",Sagaing,Wintho,TaungNi Ma,,"83P/16(498828,500827,501826,504826,504824, 499826)",
0249/2014,"Myanmar Shwe Kone Myint Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0809,0.0809,"Sagaing,Wintho,TaungNi Ma",Sagaing,Wintho,TaungNi Ma,,"83P/11(499825,504824,504821,502821)",
0219/2014,"MIG Co.,Ltd",Small,,2014-06-10T00:00:00Z,2014-06-10,2015-06-10T00:00:00Z,2015-06-10,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaungPhoung",Sagaing,Homalin,LaungPhoung,,83P/5,
0257/2014,"Aung Khant Swan Co.,Ltd",Small,,2014-10-09T00:00:00Z,2014-10-09,2015-10-08T00:00:00Z,2015-10-08,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,NaungHin",Sagaing,Homalin,NaungHin,,"83O/5(583145,578145,578147,583147)",
0264/2014,"727 Mining Co.,Ltd",Small,,2014-10-15T00:00:00Z,2014-10-15,2015-10-14T00:00:00Z,2015-10-14,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,Khinan",Sagaing,Bamouk,Khinan,,"83P/10(233605,234602,236602,237605)",
0263/2014,"727 Mining Co.,Ltd",Small,,2014-10-15T00:00:00Z,2014-10-15,2015-10-14T00:00:00Z,2015-10-14,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,Khinan",Sagaing,Bamouk,Khinan,,"83P/10(233605,234602,236602,237605)",
0268/2014,Shwe Win Aung Aung,Small,,2014-10-15T00:00:00Z,2014-10-15,2015-10-14T00:00:00Z,2015-10-14,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,NarNapTun",Sagaing,Bamouk,NarNapTun,,"83P/9(263727,266728,268723,266723)",
0255/2014,"Asia Golden Brightes Co.,Ltd",Small,,2014-10-01T00:00:00Z,2014-10-01,2015-09-30T00:00:00Z,2015-09-30,Gold,Gold,0.0809,0.0809,"Sagaing,Wintho,NyanChayTauk",Sagaing,Wintho,NyanChayTauk,,"93P/12(345732,345733,351733,350731)",
0256/2014,"Asia Golden Brightes Co.,Ltd",Small,,2014-10-01T00:00:00Z,2014-10-01,2015-09-30T00:00:00Z,2015-09-30,Gold,Gold,0.0809,0.0809,"Sagaing,Wintho,NyanChayTauk",Sagaing,Wintho,NyanChayTauk,,"93P/12(355725,358728,359727,357725)",
0746/2000,"Chan Mya Shweyae Co.,Ltd",Small,,2013-10-20T00:00:00Z,2013-10-20,2014-10-19T00:00:00Z,2014-10-19,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,83P/5,
0258/2014,"Shwe Kyar San Co.,Ltd",Small,,2014-10-09T00:00:00Z,2014-10-09,2015-10-08T00:00:00Z,2015-10-08,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83O/5(930712,735712,935700,930700)",
0267/2014,"Yadanar KyiMar Aung Co.,Ltd",Small,,2014-10-15T00:00:00Z,2014-10-15,2015-10-14T00:00:00Z,2015-10-14,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,TarmelPoke",Sagaing,Homalin,TarmelPoke,,"83O/15(385359, 384360, 387362, 390363, 391362)",
0260/2014,"Thein Ylan Shwe Sin Co.,Ltd",Small,,2014-10-09T00:00:00Z,2014-10-09,2015-10-08T00:00:00Z,2015-10-08,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,HamanThi",Sagaing,Homalin,HamanThi,,"3O/3(352256, 754258, 752261, 750260)",
0204/2014,"Swan Htet Win Mining Co.,Ltd",Small,,2014-06-25T00:00:00Z,2014-06-25,2015-06-24T00:00:00Z,2015-06-24,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,MineKine",Sagaing,Homalin,MineKine,,"83O/SE(256151, 256150, 263148, 263150)",
0271/2014,"Min Thiha Aung Co.,Ltd",Small,,2014-11-05T00:00:00Z,2014-11-05,2015-11-04T00:00:00Z,2015-11-04,Gold,Gold,0.0769,0.0769,"Sagaing,Homalin,KyanKone",Sagaing,Homalin,KyanKone,,"83L/11(257165,285165,260155,259155)",
0254/2014,"7 Stars Co.,Ltd",Small,,2014-10-01T00:00:00Z,2014-10-01,2015-09-30T00:00:00Z,2015-09-30,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83P/5(925760,929756,931757,927761)",
0242/2014,"Shwe Phyo Thisar Mahtaine Co.,Ltd",Small,,2014-09-17T00:00:00Z,2014-09-17,2015-09-16T00:00:00Z,2015-09-16,Gold,Gold,0.0607,0.0607,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,"83O/15(559297,561295,262297,563297,566299, 562299)",
0272/2014,"Soe Myat Yadanar Co.,Ltd",Small,,2014-11-05T00:00:00Z,2014-11-05,2015-11-04T00:00:00Z,2015-11-04,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,HamanThi",Sagaing,Homalin,HamanThi,,"83O/3( 754294, 754295,757299,758296)",
0259/2014,"Shin Thant Aung Myin Co.,Ltd",Small,,2014-10-09T00:00:00Z,2014-10-09,2015-10-08T00:00:00Z,2015-10-08,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Helpat",Sagaing,Homalin,Helpat,,"83P/5( 887689, 885688, 879692, 879693, 886690,885689,886688,887698)",
0269/2014,"Shwe Toetap Wai Kyaw Co.,Ltd",Small,,2014-10-30T00:00:00Z,2014-10-30,2015-10-29T00:00:00Z,2015-10-29,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,KhoTaung",Sagaing,Homalin,KhoTaung,,"83L/14(354548, 353547, 358542, 359543)",
0275/2014,"Pyae Phyo San Co.,Ltd",Small,,2014-10-21T00:00:00Z,2014-10-21,2015-10-20T00:00:00Z,2015-10-20,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,HamanThi",Sagaing,Homalin,HamanThi,,"83O/SW(760263,761261,755260,756262)",
0270/2014," Thalar Moe Nyunt Co.,Ltd ",Small,,2014-11-05T00:00:00Z,2014-11-05,2015-11-04T00:00:00Z,2015-11-04,Gold,Gold,0.0754,0.0754,SHML-600,,,,,"83L/11(252158, 253156, 256159, 254160)",
0205/2014,"Shwe Pyae Maung Co.,Ltd",Small,,2014-07-02T00:00:00Z,2014-07-02,2015-07-01T00:00:00Z,2015-07-01,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,Ohbokatauck",Sagaing,Homalin,Ohbokatauck,,"83L/10(200290, 198297, 198298, 202290)",
0279/2014,"Aga Yadanar Co.,Ltd",Small,,2014-11-26T00:00:00Z,2014-11-26,2015-11-25T00:00:00Z,2015-11-25,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,LwelNatGyi",Sagaing,Bamouk,LwelNatGyi,,"83P/15(434175,439176,440174,435173)",
0280/2014,"Aga Yadanar Co.,Ltd",Small,,2014-11-26T00:00:00Z,2014-11-26,2015-11-25T00:00:00Z,2015-11-25,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,LwelNatGyi",Sagaing,Bamouk,LwelNatGyi,,"83P/15(430171,435173,436171,431169)",
0281/2014,"Aga Yadanar Co.,Ltd",Small,,,,,,,,0.0850,0.085,"Sagaing,Bamouk,LwelNatGyi",Sagaing,Bamouk,LwelNatGyi,,"83P/15(427174,432176,433174,428172)",
0288/2014,"Aung Khant Swan Co.,Ltd",Small,,2014-12-10T00:00:00Z,2014-12-10,2015-12-09T00:00:00Z,2015-12-09,Gold,Gold,0.0757,0.0757,"Sagaing,Khann,Yatnar",Sagaing,Khann,Yatnar,,"83O/6(964616, 967615, 970619, 967618)",
0287/2014,"Aung shwe sin Myat Co.,Ltd",Small,,2014-12-10T00:00:00Z,2014-12-10,2015-12-09T00:00:00Z,2015-12-09,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaungPhoung",Sagaing,Homalin,LaungPhoung,,"83P/1(787727,793730,794729)",
0275/2014,"Pyae Phyo San Co.,Ltd",Small,,2014-11-21T00:00:00Z,2014-11-21,2015-11-20T00:00:00Z,2015-11-20,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,HamanThi",Sagaing,Homalin,HamanThi,," 83O/SW(760263, 761261, 755260, 756262)",
0296/2014,"Yadanar KyiMar Aung Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,"83O/15(455258, 451260,450258, 454256)",
0298/2014,"Shwe Toe Ylan Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0761,0.0761,"Sagaing,Homalin,SHML-618",Sagaing,Homalin,SHML-618,,"83P/5(801710,803710,803706,801706)",
0300/2014,"Kantarya Sein Mining Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0809,0.0809,"Sagaing,PinLelbu,SPLB-57",Sagaing,PinLelbu,SPLB-57,,"83P/12(235921, 239921, 239923, 236923, 236926)",
0299/2014,"Shwe O Si Mining Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,SBM-328",Sagaing,Bamouk,SBM-328,,"83P/13(499674,504674,504672,499672)",
0294/2014,"Shwe Si Toe Co.,Ltd",Small,,2014-12-17T00:00:00Z,2014-12-17,2015-12-16T00:00:00Z,2015-12-16,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,SBM-332",Sagaing,Bamouk,SBM-332,,"83P/9( 269677,268677,268682,271681)",
0012/2015,"Zile Shine Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-01-06T00:00:00Z,2016-01-06,Gold,Gold,0.0809,0.0809,"Sagaing,Kawlin,SKL-62",Sagaing,Kawlin,SKL-62,," 84M/6( 091326, 091327, 093328, 093331, 094330,095329,095327,093326)",
0006/2015,"Araw Zar Shwe Pyi Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-01-06T00:00:00Z,2016-01-06,Gold,Gold,0.0809,0.0809,"Sagaing,PinLelbu,SPLB-59",Sagaing,PinLelbu,SPLB-59,,"83P/12( 180928, 182928, 182923, 180923)",
0007/2015,"Araw Zar Shwe Pyi Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-01-06T00:00:00Z,2016-01-06,Gold,Gold,0.0809,0.0809,"Sagaing,PinLelbu,SPLB-60",Sagaing,PinLelbu,SPLB-60,,"83P/12( 180931, 185931, 185929, 180929)",
0008/2015,"Araw Zar Shwe Pyi Co.,Ltd",Small,,,,,,,,0.0809,0.0809,"Sagaing,PinLelbu,SPLB-61",Sagaing,PinLelbu,SPLB-61,,"83P/12(183928,185928,185923,182923)",
0015/2015,"Shwe Zayar Co.,Ltd",Small,,2015-01-15T00:00:00Z,2015-01-15,2016-01-14T00:00:00Z,2016-01-14,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-565",Sagaing,Homalin,SHML-565,,"83P/5(923705, 919707, 919704,919702)",
0016/2015,"Shwe Zayar Co.,Ltd",Small,,2015-01-15T00:00:00Z,2015-01-15,2016-01-14T00:00:00Z,2016-01-14,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-566",Sagaing,Homalin,SHML-566,,"83P/1(923709,923711,919708,919706)",
0291/2014,"Shwe Lat Wel Thondaya Mining Co.,Ltd",Small,,2014-12-17T00:00:00Z,2014-12-17,2015-12-16T00:00:00Z,2015-12-16,Gold,Gold,0.0753,0.0753,"Sagaing,Bamouk,SBM-319",Sagaing,Bamouk,SBM-319,,"83P/13( 471744,471739,473739,473743, 472743, 472744)",
0292/2014,"Shwe Lat Wel Thondaya Mining Co.,Ltd",Small,,2014-12-17T00:00:00Z,2014-12-17,2015-12-16T00:00:00Z,2015-12-16,Gold,Gold,0.0753,0.0753,"Sagaing,Bamouk,SBM",Sagaing,Bamouk,SBM,,"83P/13(470739,473739,473736,470736)",
0297/2014,"Place Sar Gold Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0728,0.0728,"Sagaing,Homalin,SHML-615",Sagaing,Homalin,SHML-615,,"83L/11(248198, 248200, 252200, 249197)",
0013/2015,"Chit Khin PuPaung Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-01-06T00:00:00Z,2016-01-06,Gold,Gold,0.0798,0.0798,"Sagaing,Wintho,SWTO-85",Sagaing,Wintho,SWTO-85,,"83P/16(448756, 449777, 454753, 453751)",
0011/2015,"Tachushin Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-01-06T00:00:00Z,2016-01-06,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,SBM-316",Sagaing,Bamouk,SBM-316,,"83P/9(265664,266674,267674,266664)",
0025/2015,"Shwe Min Gyi Co.,Ltd",Small,,2015-01-28T00:00:00Z,2015-01-28,2016-01-27T00:00:00Z,2016-01-27,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-517",Sagaing,Homalin,SHML-517,,"83P/1(648671, 650671, 650666,648666)",
0026/2015,"Shwe Min Gyi Co.,Ltd",Small,,2015-01-28T00:00:00Z,2015-01-28,2016-01-27T00:00:00Z,2016-01-27,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-517",Sagaing,Homalin,SHML-517,,"83P/1(651670, 653670, 653665, 651665)",
0052/2015,"Shwe Htay Bamar Mining Co.,Ltd",Small,,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-631",Sagaing,Homalin,SHML-631,,"83P/5( 825697, 825696, 835696, 835697)",
0024/2015,"Mya Theingyi Co.,Ltd",Small,,2015-01-20T00:00:00Z,2015-01-20,2016-01-19T00:00:00Z,2016-01-19,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-387",Sagaing,Homalin,SHML-387,,"83P/5(894715,895715,895713,902711,902710, 893713,898711)",
0046/2015,"Shwe Taung Kyar International Co.,Ltd",Small,,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaoungPoung",Sagaing,Homalin,LaoungPoung,,"83P/1(712671,712672,715671,721668,720667, 714671)",
0047/2015,"Shwe Taung Kyar International Co.,Ltd",Small,,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaoungPoung",Sagaing,Homalin,LaoungPoung,,"83P/1(741731,743731,747722,746721,742730)",
0048/2015,"Shwe Taung Kyar International Co.,Ltd",Small,,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaoungPoung",Sagaing,Homalin,LaoungPoung,,"83P/1(780722, 782726, 786730, 786729, 784727, 781723)",
0049/2015,"Shwe Taung Kyar International Co.,Ltd",Small,,2015-02-04T00:00:00Z,2015-02-04,2016-02-03T00:00:00Z,2016-02-03,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,LaoungPoung",Sagaing,Homalin,LaoungPoung,,"83P/1(774730, 776730, 776727, 775725, 773726)",
0055/2015,"Shwe Twin Gyi Co.,Ltd",Small,,2015-02-11T00:00:00Z,2015-02-11,2016-02-10T00:00:00Z,2016-02-10,Gold,Gold,0.0809,0.0809,"Sagaing,Bamouk,SBM-339",Sagaing,Bamouk,SBM-339,,"83P/10(231600,230603,233603,235600)",
0009/2015,"Utara Shwe Sin Mining Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-08-06T00:00:00Z,2016-08-06,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,"83P/15(479351, 477351, 477356, 479356)",
0010/2015,"Utara Shwe Sin Mining Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2016-08-06T00:00:00Z,2016-08-06,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,ShweTwin",Sagaing,Homalin,ShweTwin,,"83O/15(479351, 477351, 477356, 479356)",
0409/2010,"Douhtawady Copper Gold Co.,Ltd",Small,,2014-06-10T00:00:00Z,2014-06-10,2015-06-09T00:00:00Z,2015-06-09,Copper,Copper,0.1376,0.1376,"Sagaing,Kawlin,Shankalone",Sagaing,Kawlin,Shankalone,,"84M/10(163367,168365,165360,160364)",
0410/2010,"Douhtawady Copper Gold Co.,Ltd",Small,,2014-06-10T00:00:00Z,2014-06-10,2015-06-09T00:00:00Z,2015-06-09,Copper,Copper,0.2003,0.2003,"Sagaing,Kawlin,Shankalone",Sagaing,Kawlin,Shankalone,,"84M/10(156357,159355,156351,154352, 155355)",
0054/2015,"MIG Co.,Ltd",Small,,2015-02-11T00:00:00Z,2015-02-11,2016-02-10T00:00:00Z,2016-02-10,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-592",Sagaing,Homalin,SHML-592,," 83P/1( 721712,729702,729703,720704)",
0057/2015,"MIG Co.,Ltd",Small,,2015-02-11T00:00:00Z,2015-02-11,2016-02-10T00:00:00Z,2016-02-10,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-592",Sagaing,Homalin,SHML-592,,"83P/1( 720704, 721707,729703) ",
0061/2015,"Kantarya Sein Mining Co.,Ltd",Small,,5/3/205,2015-05-03,2016-03-04T00:00:00Z,2016-03-04,Gold,Gold,0.0809,0.0809,"Sagaing,PinLelbu,MawKhwin",Sagaing,PinLelbu,MawKhwin,,"83P/12( 227922, 229922, 229917, 227917)",
0019/2015,"Ngwe La Win thar Co.,Ltd",Small,,2015-01-21T00:00:00Z,2015-01-21,2016-01-20T00:00:00Z,2016-01-20,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-593",Sagaing,Homalin,SHML-593,,"83P/16( 812565, 813568, 810570, 810565)",
0059/2015,"Au Yu Thalar Co.,Ltd",Small,,2015-02-26T00:00:00Z,2015-02-26,2016-02-25T00:00:00Z,2016-02-25,Gold,Gold,0.0809,0.0809,"Sagaing,Homalin,SHML-625",Sagaing,Homalin,SHML-625,,"83 O/SW( 752291, 749292, 746290, 747289) ",
