Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
 0016/2011,Young Investment Group CoLtd,Large,,2011-02-04T00:00:00Z,2011-02-04,,,Limestone,Limestone,89.6,89.6,"Mandalay, Thar Si ,Kyatsakhan(2)",Mandalay, Thar Si ,Kyatsakhan(2),,93 D,
0044/2011,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",Large,,2010-05-07T00:00:00Z,2010-05-07,2035-05-06T00:00:00Z,2035-05-06,Iron,Iron,618,618,"Mandalay,Pyin Oo Lwin ,KyarTwinYae",Mandalay,Pyin Oo Lwin ,KyarTwinYae,,"93C/9(058550,066553,076550, 075535,065530,060530,060540)",
 0045/2011,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",Large,,2010-05-07T00:00:00Z,2010-05-07,2035-05-06T00:00:00Z,2035-05-06,Limestone,Limestone,362.46,362.46,"Mandalay,PaThainGyi ,OwnChaw, ",Mandalay,PaThainGyi ,OwnChaw, ,"93 C/1+5(758522,781498, 783521, 771530, 774540,770538,779521,772518,766524)",
 0046/2011,"No(3)Heavy Industry,Ministry of Industry",Large,,2011-08-31T00:00:00Z,2011-08-31,2021-08-30T00:00:00Z,2021-08-30,Glass Sand,Glass Sand,613,613,"Mandalay,Kyautse' ,YinSweTaung",Mandalay,Kyautse' ,YinSweTaung,,"93 C/6 F(698148,706167, 695155,720172, 714157,724158)",
 0047/2011,"No(3)Heavy Industry,Ministry of Industry",Large,,2011-08-31T00:00:00Z,2011-08-31,2021-08-30T00:00:00Z,2021-08-30,Limestone,Limestone,210,210,"Mandalay,Kyautse' ,ShweOoMinTaung",Mandalay,Kyautse' ,ShweOoMinTaung,,"93 C/6 F(700172,707178, 707180, 714185, 715178,714176, 713177,702170)",
 0009/2012,"Good Brothers Missionary Co.,Ltd",Large,,2012-06-28T00:00:00Z,2012-06-28,2022-06-27T00:00:00Z,2022-06-27,Limestone,Limestone,210,210,"Mandalay,Pyin Oo Lwin,Taung Kan",Mandalay,Pyin Oo Lwin,Taung Kan,,"94 B/4(750890,760890, 760880, 750880)",
 0010/2012,"Triple""A""Cement International Co.,Ltd",Large,,2012-07-20T00:00:00Z,2012-07-20,2022-07-19T00:00:00Z,2022-07-19,Limestone,Limestone,297,297,"Mandalay,Kyautse' ,Taung Taw",Mandalay,Kyautse' ,Taung Taw,,"93 C/6( 838095,832079, 840079, 847095)",
0011/2012,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Large,,2012-06-21T00:00:00Z,2012-06-21,2017-06-20T00:00:00Z,2017-06-20,Barite,Baryte,774.79,774.79,"Mandalay,Pyin Oo Lwin, Pengwekone",Mandalay,Pyin Oo Lwin, Pengwekone,,"93 D/5(995525,995550, 010550, 010525)",
,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Large,,2013-06-21T00:00:00Z,2013-06-21,2017-06-20T00:00:00Z,2017-06-20,Barite,Baryte,774.79,774.79,"Mandalay,Pyin Oo Lwin, Sie Thar",Mandalay,Pyin Oo Lwin, Sie Thar,,"93 C/5(950540,950555, 975555, 975540)",
,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Large,,2012-06-21T00:00:00Z,2012-06-21,2017-06-20T00:00:00Z,2017-06-20,Barite,Baryte,413.23,413.23,"Mandalay,Pyin Oo Lwin, TaungKyune",Mandalay,Pyin Oo Lwin, TaungKyune,,"93 C/5(810630,820630, 820310, 810610)",
