Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_type_cl,Year,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
,, 0.79 ,2012-02-28,6/2002,Glass Sand,"No.(2)Heavy Industry, Ministry of Industry",,2027-02-27,First-come-first-serve,2016-17,,Tanintharyi,Botepyine,Alawlman Kwint,
,, 2.02 ,2010-03-26,0005/2010,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (1),
,, 2.02 ,2010-03-26,0006/2010,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (2),
,, 2.02 ,2010-03-26,0007/2010,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (3),
,, 6.69 ,2012-02-01,0001/2012,Coal,Than Phyo Thu Mining Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Botepyine,Laynyar,
,, 0.81 ,2012-05-30,0005/2012,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (4),
,, 0.81 ,2012-05-30,0006/2012,Coal,May Flower Mining Interprise Limited,,2017-03-23,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (5),
,, 0.81 ,2012-05-30,0007/2012,Coal,May Flower Mining Interprise Limited,,2016-11-04,First-come-first-serve,2016-17,,Tanintharyi,Dawei,Ban Chaung (6),
,, 2.10 ,2015-05-27,0010/2015,Coal,Myanmar Economic Corporation,,2019-10-19,First-come-first-serve,2016-17,,Tanintharyi,Taninthayi,Thein Kwin,
,, 2.31 ,2015-12-28,0001/2016,Tin and Tungsten ,"Shwe Pinlae Co., Ltd",,2019-09-18,First-come-first-serve,2016-17,,Tanintharyi,KyunSu,Kyalkayan,
,, 0.93 ,2009-08-18,0001/2009,Limestone,"Max Myanmar Co.,Ltd",,2019-10-02,First-come-first-serve,2016-17,,Nay Pyi Taw,Lewe,Taungfelar,
,, 0.61 ,2011-08-31,0048/2011,Limestone,Nay Pyi Taw ,,2035-08-30,First-come-first-serve,2016-17,,Nay Pyi Taw,Lewe,Taungfelar,
,, 0.20 ,2015-03-18,005/2015,Limestone,"Max Myanmar Co.,Ltd",,2025-03-17,First-come-first-serve,2016-17,,Nay Pyi Taw,Lewe,Taungfelar,
,, 4.18 ,1999-06-15,18/1999,Limestone,"No.(2)Heavy Industry, Ministry of Industry",,2019-06-14,First-come-first-serve,2016-17,,Magway,Thayat,Patarlane,
,, 0.18 ,2014-11-12,0006/2014,Coal,"Pothar Mining Co.,Ltd",,2024-11-11,First-come-first-serve,2016-17,,Magway,MinHla,Kantoe,
,, 0.60 ,2015-08-12,0022/2015,Coal,"Myint Myat Chan Aye Production Co.,Ltd",,2015-08-11,First-come-first-serve,2016-17,,Magway,MinHla,TanpuyarKying,
,, 0.55 ,1998-07-02,0014/1998,Marble,No.(3) Heavy Industry. Ministry Of Industry,,2018-07-01,First-come-first-serve,2016-17,,Mandalay,Madaya,Kanma Taung,
,, 0.20 ,1998-07-02,"0015/1998
",Marble,No.(3) Heavy Industry. Ministry Of Industry,,2018-07-01,First-come-first-serve,2016-17,,Mandalay,Madaya,Wetletaw Taung,
,, 0.24 ,1998-07-02,"0016/1998
",Marble,No.(3) Heavy Industry. Ministry Of Industry,,2018-07-01,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Taungbo Taung,
,, 1.00 ,2000-04-26,"0015/2000
",Limestone,No.(3) Heavy Industry. Ministry Of Industry,,2020-04-25,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Than Taw Myat,
,, 0.20 ,2000-11-30,"0043/2000
",Feldspar,No.(3) Heavy Industry. Ministry Of Industry,,2020-11-29,First-come-first-serve,2016-17,,Mandalay,Myitha,pyatkayawe,
,, 0.89 ,2002-04-29,0004/2002,Marble,"U Taw Taw & Sons Co.,Ltd",,2017-04-28,First-come-first-serve,2016-17,,Mandalay,Madaya,Thabawl Taung,
,, 0.77 ,2004-01-02,0001/2014,Bauxite,No.(3) Heavy Industry. Ministry Of Industry,,2029-01-01,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,Nat Taung,
,, 0.20 ,2005-01-05,"0001/2015
",Feldspar,No.(3) Heavy Industry. Ministry Of Industry,,2030-01-04,First-come-first-serve,2016-17,,Mandalay,ThaZi,HlaingTat,
,, 0.20 ,2005-01-05,"0002/2015
",Feldspar,No.(3) Heavy Industry. Ministry Of Industry,,2030-01-04,First-come-first-serve,2016-17,,Mandalay,ThaZi,Wyaryounyae,
,, 3.34 ,2008-07-18,0003/2008,Granite,Myanmar Economic Holding Limited,,2018-07-17,First-come-first-serve,2016-17,,Mandalay,SinKying,Sin Taung,
,, 0.13 ,2008-11-10,0006/2008,Limestone,"UE Export & Import Co.,Ltd",,2018-11-09,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Taungnima Taung,
,, 3.84 ,2015-09-23,0004/2009,Limestone,"Blue Diamond Cement Co.,Ltd",,2034-11-11,First-come-first-serve,2016-17,,Mandalay,ThaZi,Pyi Nyung,
,, 11.21 ,2010-04-05,0008/2010,Limestone,"Myanmar Naing Group Co.,Ltd",,2035-04-04,First-come-first-serve,2016-17,,Mandalay,ThaZi,Pyi Nyung,
,, 2.43 ,2010-12-22,0018/2010,Limestone,"Shwe Taung Mining Co.,Ltd",,2035-12-21,First-come-first-serve,2016-17,,Mandalay,ThaZi,Thapyae Taung,
,, 1.62 ,2013-03-07,0019/2010,Limestone,"Myanmar Naing Group Co.,Ltd",,2035-12-28,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Taungnima,
,, 2.75 ,2011-01-13,0003/2011,Limestone,Green Aisa LTD,,2021-01-12,First-come-first-serve,2016-17,,Mandalay,ThaZi,Sai Taung,
,, 3.54 ,2011-02-04,0012/2011,Limestone,"Young Investment Group Co.,Ltd",,2036-02-03,First-come-first-serve,2016-17,,Mandalay,SinKying,Myalaike Taung,
,, 2.58 ,2011-02-04,0013/2011,Limestone,"Young Investment Group Co.,Ltd",,2036-02-03,First-come-first-serve,2016-17,,Mandalay,ThaZi,Thapyae Taung,
,, 2.02 ,2011-02-04,0014/2011,Limestone,"Young Investment Group Co.,Ltd",,2036-02-03,First-come-first-serve,2016-17,,Mandalay,ThaZi,NgwarLabo Taung,
,, 2.47 ,2011-02-04,0015/2011,Limestone,"Young Investment Group Co.,Ltd",,2036-02-03,First-come-first-serve,2016-17,,Mandalay,ThaZi,Nyung Pin Taung,
,, 2.50 ,2010-05-07,0044/2011,Iron,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",,2035-05-06,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,KyarTwinyae,
,, 1.47 ,2010-05-07,0045/2011,Limestone,"Directorate of Military office of Chief of Defence Defence Industries, Ministy of Defence",,2035-05-06,First-come-first-serve,2016-17,,Mandalay,Ptheingyi,Kyauk Chaw,
,, 2.48 ,2011-08-31,0046/2011,Glass Sand,No.(3) Heavy Industry. Ministry Of Industry,,2020-08-30,First-come-first-serve,2016-17,,Mandalay,Kyaukse,YinSwal Taung,
,, 0.85 ,2011-08-31,0047/2011,Limestone,No.(3) Heavy Industry. Ministry Of Industry,,2020-08-30,First-come-first-serve,2016-17,,Mandalay,Kyaukse,ShweOhaMin Taung,
,, 0.85 ,2012-06-28,0009/2012,Limestone,"Good Brother Missionary
Co.,Ltd",,2022-06-27,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,Kaungtan,
,, 0.24 ,2012-07-20,0010/2012,Limestone,"Tripal A Cement Internatinal Co.,Ltd",,2022-07-19,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Taungtaw,
,, 3.14 ,2012-06-21,0011/2012,Barite,Eden Energy & Natural Resources Development,,2017-06-20,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,Anyee Sakan,
,, 3.14 ,2012-06-21,0,Barite,Eden Energy & Natural Resources Development,,2017-06-20,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,Anyee Sakan,
,, 1.67 ,2012-06-21,0,Barite,Eden Energy & Natural Resources Development,,2017-06-20,First-come-first-serve,2016-17,,Mandalay,PyinOoLwin,Anyee Sakan,
,, 24.71 ,2011-09-16,0051/2011,Gold,National Prosperity,,2036-09-15,First-come-first-serve,2016-17,,Mandalay,Yamethin,Moehtimoemi,
,, 34.34 ,2011-09-16,0052/2011,Gold,Shwe Moe Yan,,2036-09-15,First-come-first-serve,2016-17,,Mandalay,Yamethin,Moehtimoemi,
,, 0.12 ,2012-12-01,0014/2012,Limestone,No.(1) Heavy Industry. Ministry Of Industry,,2022-11-30,First-come-first-serve,2016-17,,Mandalay,ThaZi,PyiNyung,
,, 0.60 ,2013-05-09,0003/2013,Limestone,Mandalay Cement Industrial,,2023-05-08,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Sinhtet Taung,
,, 1.45 ,2014-03-20,0002/2014,Coal,"Shwe Pouk Pouk Mining Co.,Ltd",,2024-03-19,First-come-first-serve,2016-17,,Mandalay,ThaZi,KyatSakan,
,, 0.55 ,2014-03-20,0003/2014,Coal,"Shwe Pouk Pouk Mining Co.,Ltd",,2024-03-19,First-come-first-serve,2016-17,,Mandalay,ThaZi,KyatSakan,
,, 3.75 ,2014-04-09,0005/2014,Limestone,"Max Myanmar Co.,Ltd",,2024-04-08,First-come-first-serve,2016-17,,Mandalay,ThaZi,Pyi Nyung,
,, 0.90 ,2014-11-21,0007/2014,Coal,"Shwe Pouk Pouk Mining Co.,Ltd",,2024-11-20,First-come-first-serve,2016-17,,Mandalay,ThaZi,KyatSakan,
,, 0.94 ,2014-11-26,0008/2014,Coal,"Thu Ka Pan Thu Mining Co., Ltd",,2024-11-25,First-come-first-serve,2016-17,,Mandalay,ThaZi,KyatSakan,
,, 0.53 ,2014-12-03,0010/2014,Limestone,"Than Taw Myat Co.,Ltd",,2024-12-02,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Than Taw Myat,
,, 0.40 ,2015-01-07,0001/2015,Marble,"Htoo Han Thit Co.,Ltd",,2025-01-06,First-come-first-serve,2016-17,,Mandalay,Simku,Ngwe Taung,
,, 2.20 ,2015-06-17,0016/2015,Limestone,Myint Investment Group,,2040-06-16,First-come-first-serve,2016-17,,Mandalay,Madaya,Taung Kan,
,, 0.30 ,2015-08-05,0020/2015,Marble,"Khaing Mar Toe Co.,Ltd",,2040-08-04,First-come-first-serve,2016-17,,Mandalay,Madaya,yatkansin,
,, 0.15 ,2015-07-01,0017/2015,Marble,Myanmar Economic Corporation,,2025-01-25,First-come-first-serve,2016-17,,Mandalay,Madaya,Sakying,
,, 0.87 ,2015-09-16,0026/2015,Limestone,Myanmar Economic Holding Limited,,2020-07-26,First-come-first-serve,2016-17,,Mandalay,Kyaukse,Ngwarlaekaouk,
