Code/Ref,Company_Name_cl,License_type_cl,Commodity_cl,Area_acre_cl,Coordinates of the license area,Award_date,Expiry_date,Award_date_cl,Expiry_date_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl
0006/2013,"Soe Yandarnar Oo Co.,Ltd",Small,Coal,0.2003,"84 L/12(781 367, 784 370, 787 365, 783 363)",27/2/13,26/2/16,2013-02-27,2016-02-26,"Magwe,MinHla,Kantoke",Magway,MinHla,Kantoke
0007/2013,"Myint Myat Chan Aye Co.,Ltd",Small,Coal,0.2003,"85 I /9( 792 146, 797 141, 798 143, 793 147)",13/3/13,3/12/16,2013-03-13,2016-12-03,"Magwe,Minbu,Thanpayagaing",Magway,Minbu,Thanpayagaing
0008/2013,"Myanmar Apex Mining Co.,Ltd",Small,Coal,0.1943,"85/9 792146,797141,798141,793147)",22/4/13,21/4/16,2013-04-22,2016-04-21,"Mgwe,Minbu,Su Pa Daung",Magway,Minbu,Su Pa Daung
0009/2013,"Myanmar Apex Mining Co.,Ltd",Small,Coal,0.1821,"84L/12T(717418,717423,725417,723415)",22/4/13,21/4/16,2013-04-22,2016-04-21,"Mgwe,Minbu,Su Pa Daung",Magway,Minbu,Su Pa Daung
0010/2013,"Ingyin Taung Co.,Ltd",Small,Coal,0.1702,"85I/9( 882131,888131,888126,882126)",4/10/13,4/9/16,2013-10-04,2016-09-04,"Mgwe,MinHla,Kantoke",Magway,MinHla,Kantoke
0011/2013,"Zabu Thit Mining Co.,ltd",Small,Coal,0.2741,"84J/8( 700425,705430, 710426, 704420)",6/11/13,6/10/16,2013-11-06,2016-10-06,"Mgwe,Ngapae,Oo Myae Twin",Magway,Ngapae,Oo Myae Twin
0012/2013,"PanLaung Co.,Ltd",Small,Coal,0.2003,"38 I /( 881148,882148,884146,883146)",6/11/13,6/10/16,2013-11-06,2016-10-06,"Mgwe,MinHla,Kantoke",Magway,MinHla,Kantoke
0014/2013,"Nyein Chan Sein Phyar Co.,Ltd",Small,Coal,0.7452,"84I/9T(9160729,925075,931063,927062, 924067,915067)",19/6/13,18/6/16,2013-06-19,2016-06-18,"Mgwe,MinHla,SatPyar",Magway,MinHla,SatPyar
0015/2013,"Glaxy Myanmar Mining Co.,Ltd",Small,Coal,0.4087,"95I / 9 T(914086,925086,926080,915077)",7/2/13,7/2/16,2013-02-07,2016-02-07,"Mgwe,MinHla,Kantoke",Magway,MinHla,Kantoke
0020/2014,"Ma Lwin group Mining Co.,Ltd",Small,Coal,0.8701,"85I/10(948793,954789,948778,942782)",13/2/14,2/12/17,2014-02-13,2017-12-02,"Mgwe,MinHla,YaeKyaw",Magway,MinHla,YaeKyaw
0021/2014,"Han Htet Industries Co.,Ltd",Small,Coal,0.6677,"84L 8+12(716455,714457,742437, 737430, 729441)",13/2/14,2/12/17,2014-02-13,2017-12-02,"Mgwe,Minbu,Phaya",Magway,Minbu,Phaya
0069/2014,"Sein Chi Lin Mining Co.,Ltd",Small,Copper,0.2003,83P/5,19/2/14,18/2/17,2014-02-19,2017-02-18,"Magwe, Saytoketayar ,Lonegyi",Magway, Saytoketayar ,Lonegyi
0035/2014,"Metal Matter Co.,Ltd",Small,Coal,0.2003,"84 L /12( 794355, 796355 , 800345, 798345)",6/6/14,6/5/17,2014-06-06,2017-05-06,"Magwe, MinBu ,Padaung",Magway, MinBu ,Padaung
0178/2014,"Shwe Yaung Toukpataw Ngwe Naing Gyan Co.,ltd",Small,Chromium,0.2003,"84 L / 8 T(560477,562477,560465,562465)",28/5/14,27/5/17,2014-05-28,2017-05-27,"Magwe,Ngapae,NgarYantchaung",Magway,Ngapae,NgarYantchaung
0179/0014,"Shwe Yaung Toukpataw Ngwe Naing Gyan Co.,ltd",Small,Chromium,0.2003,"84 L/8 T(568477,570477,568465,570465)",28/5/14,27/5/17,2014-05-28,2017-05-27,"Magwe,Ngapae,NgarYantchaung",Magway,Ngapae,NgarYantchaung
0042/2014,"Sein Chi Lin Mining Co.,Ltd",Small,Coal,0.4856,"84 L/12 T+ 85I/9T(819305,824297, 826305, 831297)",10/1/14,30/9/19,2014-01-10,2019-09-30,"Magwe,MinBu,Kyouk Sat",Magway,MinBu,Kyouk Sat
0043/2014,"Sein Chi Lin Mining Co.,Ltd",Small,Coal,0.4856,"85 /9T ( 839282,850264,853264,842282)",10/1/14,30/9/19,2014-01-10,2019-09-30,"Magwe,MinBu,Kyouk Sat",Magway,MinBu,Kyouk Sat
0050/2014,"Zanu Thit Mining Co.,ltd",Small,Coal,0.2508,"84 L /12( 735410,737412,745405,743403)",26/11/14,25/11/19,2014-11-26,2019-11-25,"Magwe,MinBu,Phaya",Magway,MinBu,Phaya
0052/2014,"Shwe Thein ate Mining Co.,Ltd",Small,Coal,0.8007,"85 I / 9 T( 800140, 810140, 810130, 800130)",26/11/14,25/11/19,2014-11-26,2019-11-25,"Magwe,Ngapae,Su Pa Daung",Magway,Ngapae,Su Pa Daung
0053/2014,"Shwe Thein ate Mining Co.,Ltd",Small,Coal,0.8027,"85 I /9 T( 798128 , 810128, 810120 ,798120)",26/11/14,25/11/19,2014-11-26,2019-11-25,"Magwe,Ngapae,Su Pa Daung",Magway,Ngapae,Su Pa Daung
0051/2014,"Pother Mining Co.,Ltd",Small,Coal,0.7107,"84 L /12 T( 744401, 748403, 756389 , 752386 )",26/11/14,25/11/19,2014-11-26,2019-11-25,"Magwe,MinBu,Phaya",Magway,MinBu,Phaya
0065/2014,"Signt Nay Min Co.,ltd",Small,Coal,0.3136,"85  I / 9 T ( 880177, 885177, 885170 , 880170)",24/12/14,23/12/19,2014-12-24,2019-12-23,"Magwe,MinHla,Kantoke",Magway,MinHla,Kantoke
0063/2014,"Milliom Golden Co.,Ltd",Small,Coal,0.1821,"85 I /9 T( 923066, 924065, 927056 , 927254 , 923060)",17/12/14,16/12/19,2014-12-17,2019-12-16,"Magwe,MinHla,Satpyar",Magway,MinHla,Satpyar
0064/2014,"Milliom Golden Co.,Ltd",Small,Coal,0.1619,"85 I/9T(928061, 931062,934054,932054)",17/12/14,16/12/19,2014-12-17,2019-12-16,"Magwe,MinHla,Satpyar",Magway,MinHla,Satpyar
002/2015,"Phyu Zin Co.,Ltd",Small,Coal,0.1619,"84L/12( 731423,731417,740415)",15/1/15,14/1/20,2015-01-15,2020-01-14,"Magwe,Minbu(Saku),Phaya",Magway,Minbu(Saku),Phaya
61/2006,"High Tech Mining                     Industries Co., Ltd",Small,Limestone,0.2003,93 C,11/9/06,11/8/09,2006-09-11,2009-08-11,"Mandalay,Patheingyi, KyoukChaw",Mandalay,Patheingyi, KyoukChaw
0105/2009,"Sandi Mining Co.,ltd",Small,Lead,0.2003,"93D/6(776057,780057,780050,776050)",27/7/14,26/7/15,2014-07-27,2015-07-26,"Mandalay,Pyawbawe,PhaungTaw",Mandalay,Pyawbawe,PhaungTaw
0011/2010,Daw Win Kyi,Small,Marble,0.0405,93B/3(568050),11/1/13,31/10/14,2013-01-11,2014-10-31,"Mandalay,Mattaya,Garl Taung",Mandalay,Mattaya,Garl Taung
0013/2010,YadarnarMyae  Cooperative,Small,Marble,0.0607,93B/3,11/1/10,31/10/13,2010-01-11,2013-10-31,"Mandalay,Mattaya,YaeChanTaung",Mandalay,Mattaya,YaeChanTaung
0023/2010,"KaChin Lay Industries Co.,Ltd",Small,Lead,0.2003,"93D/6(903083, 905084, 909075, 906075)",28/1/15,27/1/16,2015-01-28,2016-01-27,"Mandalay,Tharsi,PokeTaLouk Chaung",Mandalay,Tharsi,PokeTaLouk Chaung
0050/2010,YadarnarMyae  Cooperative,Small,Marble,0.1229,93B/3,5/5/11,5/4/14,2011-05-05,2014-04-05,"Mandalay,Mattaya,Padamyar Taung",Mandalay,Mattaya,Padamyar Taung
0184/2010,"Bright Star Mining Co.,Ltd",Small,Lead,0.2003,"93D/7(833756,840758,842756,833754)",3/12/15,3/11/16,2015-12-03,2016-11-03,"Mandalay, Yamathin,BD-1",Mandalay, Yamathin,BD-1
0185/2010,"Bright Star Mining Co.,Ltd",Small,Lead,0.2003,"93 D/7(833754,842756,843754,834751)",3/12/15,3/11/16,2015-12-03,2016-11-03,"Mandalay, Yamathin,BD-2",Mandalay, Yamathin,BD-2
0186/2010,"Bright Star Mining Co.,Ltd",Small,Lead,0.2003,"93D/7(844751,843753,843750,834748)",3/12/15,3/11/16,2015-12-03,2016-11-03,"Mandalay, Yamathin,BD-3",Mandalay, Yamathin,BD-3
0333/2010,"Myat Thu Zar Co.,Ltd",Small,Antimony,0.2003,"93D/6(939041,942041,909031,942031)",30/4/14,29/4/15,2014-04-30,2015-04-29,"Mandalay,Tharsi,Le Byin-1",Mandalay,Tharsi,Le Byin-1
0334/2010,"Myat Thu Zar Co.,Ltd",Small,Antimony,0.2003,"93D/6(928036,930038,934029,936032)",30/4/14,29/4/15,2014-04-30,2015-04-29,"Mandalay,Tharsi,Le Byin-2",Mandalay,Tharsi,Le Byin-2
0335/2010,"Myat Thu Zar Co.,Ltd",Small,Antimony,0.2003,"93D/6(926028,930028,926022,930022)",30/4/14,29/4/15,2014-04-30,2015-04-29,"Mandalay,Tharsi,Le Byin-3",Mandalay,Tharsi,Le Byin-3
0760/2010,"Zabutalu Co.,Ltd",Small,Copper,0.2003,"93C/6F(832153,853152,831149,834148)",29/10/14,28/10/15,2014-10-29,2015-10-28,"Mandalay,Kyoukse,Sapaltaung",Mandalay,Kyoukse,Sapaltaung
0761/2010,"Zabutalu Co.,Ltd",Small,Copper,0.2003,"93C/6F(833132,836142,832138,836138)",29/10/14,28/10/15,2014-10-29,2015-10-28,"Mandalay,Kyoukse,Sapaltaung",Mandalay,Kyoukse,Sapaltaung
0762/2010,"Zabutalu Co.,Ltd",Small,Copper,0.2003,"93C/6F(833132,836133,834128,837129)",29/10/14,28/10/15,2014-10-29,2015-10-28,"Mandalay,Kyoukse,Sapaltaung",Mandalay,Kyoukse,Sapaltaung
0352/2011,"Star Rays Mining Co.,Ltd",Small,Lead,0.2003,"93B/1(868237,873237,873242,868242)",29/3/14,38/3/2015,2014-03-29,,"Mandalay,Singu,KyoukBLuu",Mandalay,Singu,KyoukBLuu
0032/2012,"Parmini Energy Development Co.,Ltd",Small,Manganese dioxide,1.4326,"84 P / 5( 656 235 , 661234, 659229 ,  657230, 652 231)",6/11/12,6/10/15,2012-11-06,2015-10-06,"Mandalay,KyoutPadaung,KyoukTakhar",Mandalay,KyoutPadaung,KyoukTakhar
0033/2012,"Parmini Energy Development Co.,Ltd",Small,Bontonite,0.2428,"84 P / 5( 645 290,  655 290, 650 276,  642 281)",6/11/12,6/10/15,2012-11-06,2015-10-06,"Mandalay,KyoutPadaung,KyoukTakhar",Mandalay,KyoutPadaung,KyoukTakhar
0038/2012,"Moe Nat Thar Mining Co.,Ltd",Small,Marble,0.2003,"93B/3L(572076,574075,574074,573074,572074,572075)",20/8/12,19/8/15,2012-08-20,2015-08-19,"Mandalay,Mattaya,WallKhu",Mandalay,Mattaya,WallKhu
0039/2012,"Moe Nat Thar Mining Co.,Ltd",Small,Marble,0.1023,"93B/3L(568077,568079,572078,572076)",20/8/12,19/8/15,2012-08-20,2015-08-19,"Mandalay,Mattaya,WallKhu",Mandalay,Mattaya,WallKhu
0041/2012,"Triple""A""Cement International Co.,Ltd",Small,Bauxite,0.2003,"93 C/7(834054,836054,836061,834061)",9/5/12,9/4/15,2012-05-09,2015-04-09,"Mandalay,Kyoukse,BoeTawGyi",Mandalay,Kyoukse,BoeTawGyi
0042/2012,"UGO Co.,Ltd",Small,Granite,0.2003,"93  B/1(837 357, 839 358, 840 361, 837 362)",9/5/12,9/4/15,2012-05-09,2015-04-09,"Mandalay,Thabeakkyin,WarPhyuTaung",Mandalay,Thabeakkyin,WarPhyuTaung
0110/2012,"Aung Myo Htet Family Mining Co.,Ltd",Small,Antimony,0.2003,"93 D/6(873119, 877123, 880119, 876116)",21/6/12,20/6/15,2012-06-21,2015-06-20,"Mandalay,Tharsi,YaeTaShout",Mandalay,Tharsi,YaeTaShout
192/2012,"Shwe Pin Thar Co.,Ltd",Small,Copper,0.2003,"93C/9(053490,059490059485,053485)",22/10/12,21/10/15,2012-10-22,2015-10-21,"Mandalay,PyinOoLwin,Baw Village",Mandalay,PyinOoLwin,Baw Village
193/2012,"Shwe Pin Thar Co.,Ltd",Small,Copper,0.2003,"93C/9(053485,059485,059480,053480)",22/10/12,21/10/15,2012-10-22,2015-10-21,"Mandalay,PyinOoLwin,Baw Village",Mandalay,PyinOoLwin,Baw Village
194/2012,"Shwe Pin Thar Co.,Ltd",Small,Copper,0.2003,"93 C/9(067484,073484,073480,067480)",22/10/12,21/10/15,2012-10-22,2015-10-21,"Mandalay,PyinOoLwin,Baw Village",Mandalay,PyinOoLwin,Baw Village
0219/2012,"No(1)Heavy Industry, Ministry of Industry",Small,Quartz,0.7406,93D/5( 850226),12/1/12,30/11/15,2012-01-12,2015-11-30,"Mandalay,Tharsi,PyinNaung",Mandalay,Tharsi,PyinNaung
