,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
39,Sein Lom Taung Tan Gems Ltd. (*),Contribution to the State/region social development fund,States/Regions,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,Sein Lom Taung Tan Gems Ltd. (*),Mandatory Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,Sein Lom Taung Tan Gems Ltd. (*),Voluntary Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,Wai Aung Gabar Gems Co; Ltd. (*),Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,431457.0,0.0,431457.0,3303.0,0.0,3303.0,428154.0,Tax not reported by the Govt Body
43,Wai Aung Gabar Gems Co; Ltd. (*),Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,Wai Aung Gabar Gems Co; Ltd. (*),Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,701945860.0,0.0,701945860.0,701945860.0,0.0,701945860.0,0.0,
45,Wai Aung Gabar Gems Co; Ltd. (*),Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,4962238477.22,0.0,4962238477.22,5032759023.22,0.0,5032759023.22,-70520546.0,Tax not reported by the extractive company
46,Wai Aung Gabar Gems Co; Ltd. (*),Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,1167804131.74,0.0,1167804131.74,1167804131.74,0.0,1167804131.74,0.0,
47,Wai Aung Gabar Gems Co; Ltd. (*),"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,500486905.32000005,0.0,500486905.32000005,500486905.32000005,0.0,500486905.32000005,0.0,
48,Wai Aung Gabar Gems Co; Ltd. (*),Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,Wai Aung Gabar Gems Co; Ltd. (*),"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,206198044.66,-56051432.0,150146612.66,150146612.66,0.0,150146612.66,0.0,
50,Wai Aung Gabar Gems Co; Ltd. (*),"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,3619827401.0800004,23477400.0,3643304801.0800004,3643304801.0800004,0.0,3643304801.0800004,0.0,
51,Wai Aung Gabar Gems Co; Ltd. (*),Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,Wai Aung Gabar Gems Co; Ltd. (*),Environmental / Plantation fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,Wai Aung Gabar Gems Co; Ltd. (*),"Other significant payments (> 50,000 USD)","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,184308040.96,0.0,184308040.96,-184308040.96,Tax not reported by the extractive company
54,Wai Aung Gabar Gems Co; Ltd. (*),Corporate Income Tax (CIT),"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,413352019.0,0.0,413352019.0,411852019.0,0.0,411852019.0,1500000.0,Not material difference < 5 Million Kyats
55,Wai Aung Gabar Gems Co; Ltd. (*),Commercial Tax,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,210109256.0,0.0,210109256.0,2989200627.0800004,-2779091371.0800004,210109256.0,0.0,
56,Wai Aung Gabar Gems Co; Ltd. (*),Custom Duties,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,17360936.0,0.0,17360936.0,106049356.0,0.0,106049356.0,-88688420.0,Tax not reported by the extractive company
