,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
3019,,Taninthayi Pipeline Company (TPC),0,Training Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
3020,,Taninthayi Pipeline Company (TPC),0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
3021,,Taninthayi Pipeline Company (TPC),0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
3022,,Taninthayi Pipeline Company (TPC),0,Data fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
3023,,Taninthayi Pipeline Company (TPC),0,Land fees/Dead rent fee,MOGE,payments in cash,0,0,0,-547393089.4,0,547393089.4,MMK
3024,,Taninthayi Pipeline Company (TPC),0,Dividend/Profit Sharing  on Oil & Gas transportation,MOGE,payments in cash,0,1.07E+11,1.07E+11,1.07E+11,1.07E+11,0,MMK
3025,,Taninthayi Pipeline Company (TPC),0,Transit fees on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
3026,,Taninthayi Pipeline Company (TPC),0,Road right fee Oil & Gas transportation (Right of way),MOGE,payments in cash,0,547393089.4,547393089.4,547393089.4,547393089.4,0,MMK
3027,,Taninthayi Pipeline Company (TPC),0,"Other material payments (> 50,000 USD)",MOGE,payments in cash,0,0,0,0,0,0,MMK
3028,,Taninthayi Pipeline Company (TPC),0,Contribution to the State/region social development fund,States/regions,payments in cash,0,0,0,0,0,0,MMK
3029,,Taninthayi Pipeline Company (TPC),0,Mandatory Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
3030,,Taninthayi Pipeline Company (TPC),0,Voluntary Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
3031,,South-East Asia Gas Pipeline Co (SEAGP),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
3032,,South-East Asia Gas Pipeline Co (SEAGP),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
3033,,South-East Asia Gas Pipeline Co (SEAGP),0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
3034,,South-East Asia Gas Pipeline Co (SEAGP),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
3035,,South-East Asia Gas Pipeline Co (SEAGP),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
3036,,South-East Asia Gas Pipeline Co (SEAGP),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
3037,,South-East Asia Gas Pipeline Co (SEAGP),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
3038,,South-East Asia Gas Pipeline Co (SEAGP),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
3039,,South-East Asia Gas Pipeline Co (SEAGP),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
3040,,South-East Asia Gas Pipeline Co (SEAGP),0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
3041,,South-East Asia Gas Pipeline Co (SEAGP),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
3042,,South-East Asia Gas Pipeline Co (SEAGP),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
3043,,South-East Asia Gas Pipeline Co (SEAGP),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
3044,,South-East Asia Gas Pipeline Co (SEAGP),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
3045,,South-East Asia Gas Pipeline Co (SEAGP),0,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3046,,South-East Asia Gas Pipeline Co (SEAGP),0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3047,,South-East Asia Gas Pipeline Co (SEAGP),0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3048,,South-East Asia Gas Pipeline Co (SEAGP),0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3049,Tax not reported by the extractive company,South-East Asia Gas Pipeline Co (SEAGP),-24081597.76,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,24081597.76,24081597.76,MMK
3050,,South-East Asia Gas Pipeline Co (SEAGP),0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3051,,South-East Asia Gas Pipeline Co (SEAGP),0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3052,,South-East Asia Gas Pipeline Co (SEAGP),0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3053,,South-East Asia Gas Pipeline Co (SEAGP),0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
3054,,South-East Asia Gas Pipeline Co (SEAGP),0,Royalties,MOGE,payments in cash,0,0,0,0,0,0,MMK
3055,,South-East Asia Gas Pipeline Co (SEAGP),0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
3056,,South-East Asia Gas Pipeline Co (SEAGP),0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
3057,,South-East Asia Gas Pipeline Co (SEAGP),0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
3058,,South-East Asia Gas Pipeline Co (SEAGP),0,Dividend,MOGE,payments in cash,0,0,0,0,0,0,MMK
3059,Tax not reported by the Govt Body,South-East Asia Gas Pipeline Co (SEAGP),153371260.1,Training Fund,MOGE,payments in cash,0,153371260.1,153371260.1,0,0,0,MMK
3060,,South-East Asia Gas Pipeline Co (SEAGP),0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
3061,,South-East Asia Gas Pipeline Co (SEAGP),0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
